"cluster","sample_id","n_cells"
"C1","TH1",714
"C1","TH2",746
"C2","TH1",726
"C2","TH2",543
"C3","TH1",646
"C3","TH2",970
"C4","TH1",617
"C4","TH2",464
"C5","TH1",678
"C5","TH2",641
"C6","TH1",255
"C6","TH2",159
"C7","TH1",175
"C7","TH2",79
"C8","TH1",181
"C8","TH2",205
"C9","TH1",80
"C9","TH2",33
"C10","TH1",149
"C10","TH2",96
"C11","TH1",195
"C11","TH2",148
"C12","TH1",427
"C12","TH2",299
"C13","TH1",1256
"C13","TH2",1185
"C14","TH1",1516
"C14","TH2",1724
"C15","TH1",408
"C15","TH2",349
"C16","TH1",2719
"C16","TH2",2882
"C17","TH1",1213
"C17","TH2",1545
"C18","TH1",222
"C18","TH2",7
"C19","TH1",222
"C19","TH2",1150
"C20","TH1",280
"C20","TH2",404
"C21","TH1",784
"C21","TH2",465
"C22","TH1",397
"C22","TH2",262
"C23","TH1",400
"C23","TH2",246
