"current_cluster","review_cluster","n_cells","resolution"
"C6","C1",254,1.4
"C1","C10",1448,1.4
"C3","C10",5,1.4
"C2","C11",1269,1.4
"C3","C12",1616,1.4
"C12","C13",33,1.4
"C14","C13",104,1.4
"C15","C13",2,1.4
"C16","C13",2,1.4
"C14","C14",601,1.4
"C16","C14",16,1.4
"C12","C15",3281,1.4
"C13","C15",2302,1.4
"C15","C15",7,1.4
"C18","C15",2,1.4
"C12","C16",88,1.4
"C14","C16",3,1.4
"C15","C16",5581,1.4
"C16","C16",79,1.4
"C19","C16",2,1.4
"C6","C16",2,1.4
"C15","C17",17,1.4
"C16","C17",2648,1.4
"C17","C18",1010,1.4
"C17","C19",352,1.4
"C21","C19",3,1.4
"C5","C2",412,1.4
"C1","C20",231,1.4
"C21","C20",403,1.4
"C16","C21",3,1.4
"C21","C21",1273,1.4
"C18","C22",668,1.4
"C16","C23",1,1.4
"C20","C23",685,1.4
"C12","C24",15,1.4
"C13","C24",3,1.4
"C15","C24",1,1.4
"C18","C24",677,1.4
"C19","C24",20,1.4
"C20","C24",4,1.4
"C15","C25",1,1.4
"C16","C25",27,1.4
"C18","C25",10,1.4
"C19","C25",507,1.4
"C20","C25",3,1.4
"C4","C3",1,1.4
"C7","C3",385,1.4
"C4","C4",467,1.4
"C5","C4",2,1.4
"C4","C5",908,1.4
"C7","C5",1,1.4
"C8","C6",113,1.4
"C9","C7",245,1.4
"C10","C8",343,1.4
"C11","C9",726,1.4
