"gene","group","log2FC_TH2_vs_TH1","statistic","auc","p_value","padj","mean_expression_TH1","mean_expression_TH2","pct_detected_TH1","pct_detected_TH2","max_pct_detected","delta_pct_detected_TH2_minus_TH1","direction","celltype_output_label","manual_celltype","n_cells_TH1","n_cells_TH2"
"Slc35f1","TH2",9.27069897533214,1335108.5,0.816767454309092,5.91848983705031e-171,6.02798189903574e-167,4.88715906969625,14.1578580450284,0.569167240192705,0.960888888888889,0.960888888888889,0.391721648696184,"Higher in TH2","nRPC","nPRC",1453,1125
"Insm1","TH2",-1.15691812856157,517440.5,0.316549973235452,1.4347063453984e-106,7.30624206394135e-103,1.19204139378652,0.0351232652249512,0.382656572608396,0.0186666666666667,0.382656572608396,-0.36398990594173,"Higher in TH1","nRPC","nPRC",1453,1125
"Smad3","TH2",1.20446439120441,1112957,0.68086380668349,1.68153686939789e-89,5.70881767160584e-86,0.310418399144729,1.51488279034914,0.123193392980041,0.470222222222222,0.470222222222222,0.347028829242181,"Higher in TH2","nRPC","nPRC",1453,1125
"Rps18-ps6","TH2",0.492612444677843,998093,0.610594478856007,1.40840398561667e-52,3.58614864837645e-49,0.127267714584459,0.619880159262302,0.0598761183757743,0.280888888888889,0.280888888888889,0.221012770513115,"Higher in TH2","nRPC","nPRC",1453,1125
"Slc15a2","TH2",-0.661748011259504,645316.5,0.394779536590961,1.18494549791246e-51,2.41373397924768e-48,0.718770217820015,0.057022206560511,0.23331039229181,0.024,0.23331039229181,-0.20931039229181,"Higher in TH1","nRPC","nPRC",1453,1125
"Cd44","TH2",-0.524899682509368,648866.5,0.396951288521832,3.52205734010274e-50,5.9786923348244e-47,0.56803123525257,0.0431315527432011,0.229181004817619,0.0248888888888889,0.229181004817619,-0.20429211592873,"Higher in TH1","nRPC","nPRC",1453,1125
"Gm56714","TH2",-0.471877204812388,663438,0.405865565496674,1.77974908042667e-49,2.5895349120208e-46,0.489391859531822,0.0175146547194333,0.197522367515485,0.00977777777777778,0.197522367515485,-0.187744589737707,"Higher in TH1","nRPC","nPRC",1453,1125
"Cp","TH2",1.89611811364385,1067295.5,0.652929876883077,1.33398408288881e-45,1.69832848552782e-42,1.81096600178041,3.70708411542425,0.406056434962147,0.654222222222222,0.654222222222222,0.248165787260075,"Higher in TH2","nRPC","nPRC",1453,1125
"Plekha1","TH2",1.28753953157236,1061618.5,0.649456909077005,8.62970926388703e-44,9.76595431696549e-41,1.26254731563785,2.55008684721021,0.40467997247075,0.645333333333333,0.645333333333333,0.240653360862583,"Higher in TH2","nRPC","nPRC",1453,1125
"Ctnna2","TH2",-4.27690616259456,560099.5,0.342647090311233,1.02537748784277e-43,1.04434697136786e-40,8.63896793828455,4.36206177568999,0.794907088781831,0.638222222222222,0.794907088781831,-0.156684866559608,"Higher in TH1","nRPC","nPRC",1453,1125
"Gm42047","TH2",-1.81156876341891,592717.5,0.36260151410874,3.6843926662615e-43,3.41141266417031e-40,2.76967977186042,0.958111008441511,0.48107364074329,0.24,0.48107364074329,-0.24107364074329,"Higher in TH1","nRPC","nPRC",1453,1125
"Mdga2","TH2",2.75896500800837,1062619.5,0.6500692819454,1.61331255335887e-42,1.36929902966334e-39,3.20022058158812,5.95918558959649,0.459738472126635,0.698666666666667,0.698666666666667,0.238928194540032,"Higher in TH2","nRPC","nPRC",1453,1125
"Mir99ahg","TH2",1.13171941394604,1026207.5,0.627793836506844,6.65579014786222e-42,5.21455558892129e-39,0.766527608271511,1.89824702221755,0.207157604955265,0.448888888888889,0.448888888888889,0.241731283933624,"Higher in TH2","nRPC","nPRC",1453,1125
"Sh3rf3","TH2",3.47293840824245,1067003.5,0.652751242639749,7.50208760895024e-41,5.4577687355113e-38,5.06079442256032,8.53373283080277,0.719889883000688,0.88,0.88,0.160110116999312,"Higher in TH2","nRPC","nPRC",1453,1125
"Gm35082","TH2",0.292695784182828,937303.5,0.573405827024547,1.16312319876076e-40,7.89760651958558e-38,0.0397328322212273,0.332428616404056,0.0192704748795595,0.166222222222222,0.166222222222222,0.146951747342663,"Higher in TH2","nRPC","nPRC",1453,1125
"H3f3b","TH2",-3.14485909363709,568108,0.347546379138946,2.44241798388843e-40,1.46329571564139e-37,11.5082478412446,8.36338874760749,0.975911906400551,0.950222222222222,0.975911906400551,-0.0256896841783284,"Higher in TH1","nRPC","nPRC",1453,1125
"Adcy2","TH2",-1.85660916912011,589350.5,0.360541714460503,2.44032768659879e-40,1.46329571564139e-37,3.41253872300558,1.55592955388547,0.558843771507226,0.317333333333333,0.558843771507226,-0.241510438173893,"Higher in TH1","nRPC","nPRC",1453,1125
"Rest","TH2",0.78216236395029,1026760.5,0.628132140399174,3.26865130733674e-40,1.84951186473471e-37,0.554297174634068,1.33645953858436,0.23331039229181,0.471111111111111,0.471111111111111,0.237800718819301,"Higher in TH2","nRPC","nPRC",1453,1125
"Cntn4","TH2",0.977291435380032,1000252,0.611915271086641,1.13045461607261e-39,6.05983171826291e-37,0.501950706460619,1.47924214184065,0.136958017894012,0.356444444444444,0.356444444444444,0.219486426550432,"Higher in TH2","nRPC","nPRC",1453,1125
"Frmd4b","TH2",1.65217392917585,1046702,0.64033157452015,2.98520893736415e-36,1.5202176513527e-33,2.32529236471162,3.97746629388747,0.531314521679284,0.747555555555556,0.747555555555556,0.216241033876271,"Higher in TH2","nRPC","nPRC",1453,1125
"Ccnjl","TH2",0.886893045256566,1017043,0.622187351839107,7.43417702500084e-36,3.60557585712541e-33,0.728314788989056,1.61520783424562,0.25258086717137,0.478222222222222,0.478222222222222,0.225641355050853,"Higher in TH2","nRPC","nPRC",1453,1125
"Gas1","TH2",0.744030118945427,1019078,0.623432285692437,6.57346692310564e-35,3.04321639144686e-32,0.689734954617508,1.43376507356294,0.279421885753613,0.512,0.512,0.232578114246387,"Higher in TH2","nRPC","nPRC",1453,1125
"Gm4258","TH2",2.78282509056311,1043317.5,0.638261069052535,6.69088093935444e-34,2.9628966246663e-31,4.39014064873695,7.17296573930006,0.706125258086717,0.84,0.84,0.133874741913283,"Higher in TH2","nRPC","nPRC",1453,1125
"4833420G17Rik","TH2",1.12161382313617,1035790,0.633656037317428,4.65164683679119e-33,1.97404262636326e-30,1.74387380294896,2.86548762608512,0.540949759119064,0.732444444444444,0.732444444444444,0.19149468532538,"Higher in TH2","nRPC","nPRC",1453,1125
"Zfp868","TH2",-0.532212053353681,654604,0.400461267874895,5.696323911031e-33,2.2314253474558e-30,0.765892307198481,0.2336802538448,0.30488644184446,0.112,0.30488644184446,-0.19288644184446,"Higher in TH1","nRPC","nPRC",1453,1125
"Gm56626","TH2",-0.485445767998863,675760,0.413403685860671,5.67039603413359e-33,2.2314253474558e-30,0.601003080900499,0.115557312901636,0.229869236063317,0.0604444444444444,0.229869236063317,-0.169424791618873,"Higher in TH1","nRPC","nPRC",1453,1125
"Tle4","TH2",2.21250343428979,1037593,0.634759042593867,3.0120151120185e-32,1.13619903392253e-29,4.12149500513277,6.33399843942257,0.708878183069511,0.856,0.856,0.147121816930489,"Higher in TH2","nRPC","nPRC",1453,1125
"Trpm3","TH2",3.89137972770884,1033794,0.632434962147281,3.53573756684907e-31,1.28612453994135e-28,8.17694574860987,12.0683254763187,0.696490020646937,0.884444444444444,0.884444444444444,0.187954423797507,"Higher in TH2","nRPC","nPRC",1453,1125
"Vxn","TH2",0.504983155523278,958331.5,0.586269939588591,3.9516877751976e-30,1.38785999966854e-27,0.237990170598499,0.742973326121777,0.0997935306262904,0.268444444444444,0.268444444444444,0.168650913818154,"Higher in TH2","nRPC","nPRC",1453,1125
"Zfp799","TH2",0.618344491731762,994963,0.608679666590197,7.01620783339349e-30,2.38200255943709e-27,0.591348775744594,1.20969326747636,0.2381280110117,0.444444444444444,0.444444444444444,0.206316433432745,"Higher in TH2","nRPC","nPRC",1453,1125
"Fat3","TH2",2.09612759711401,1025595,0.62741913282863,1.26382928127096e-29,4.15229071927249e-27,3.71450760806973,5.81063520518375,0.588437715072264,0.792888888888889,0.792888888888889,0.204451173816625,"Higher in TH2","nRPC","nPRC",1453,1125
"Abcd4","TH2",1.15998687980438,1024462,0.626726007494074,1.615596551773e-29,5.14214089994001e-27,2.14309060809878,3.30307748790316,0.573984858912595,0.764444444444444,0.764444444444444,0.19045958553185,"Higher in TH2","nRPC","nPRC",1453,1125
"Pde1c","TH2",2.226097866416,1021018,0.624619102240575,8.78690192438864e-29,2.71195745757267e-26,3.19728727273437,5.42338513915036,0.560908465244322,0.741333333333333,0.741333333333333,0.180424868089011,"Higher in TH2","nRPC","nPRC",1453,1125
"Pmp22","TH2",0.613154233986874,979930.5,0.599483367744896,1.71563288262e-28,5.13932967926021e-26,0.422169506996743,1.03532374098362,0.189951823812801,0.377777777777778,0.377777777777778,0.187825953964977,"Higher in TH2","nRPC","nPRC",1453,1125
"Glo1","TH2",0.841424007576152,1000766.5,0.61223002217634,6.88639483104013e-28,2.00394089583268e-25,0.906083858412086,1.74750786598824,0.326221610461115,0.528888888888889,0.528888888888889,0.202667278427774,"Higher in TH2","nRPC","nPRC",1453,1125
"Urgcp","TH2",0.554230968749732,972874.5,0.595166781371874,3.29211106173857e-27,9.31393087883536e-25,0.459992531178525,1.01422349992826,0.175498967653131,0.362666666666667,0.362666666666667,0.187167699013535,"Higher in TH2","nRPC","nPRC",1453,1125
"Fam184b","TH2",0.476190364395309,961327,0.588102469985471,1.48442180766781e-25,4.08617192191801e-23,0.380130914913061,0.85632127930837,0.152099105299381,0.327111111111111,0.327111111111111,0.175012005811731,"Higher in TH2","nRPC","nPRC",1453,1125
"Heph","TH2",0.719807533668382,987122,0.603882847747954,1.82182120979188e-25,4.8829602688764e-23,0.860480616191237,1.58028814985962,0.289745354439092,0.482666666666667,0.482666666666667,0.192921312227575,"Higher in TH2","nRPC","nPRC",1453,1125
"Ryr2","TH2",1.39483513928284,955308.5,0.58442058576126,3.04193528327295e-25,7.94413098977821e-23,0.576418859151963,1.9712539984348,0.140399174122505,0.295111111111111,0.295111111111111,0.154711936988606,"Higher in TH2","nRPC","nPRC",1453,1125
"Bcat1","TH2",0.726786384842972,978626.5,0.598685631260993,6.5660317045505e-25,1.67187582277117e-22,0.640887679282158,1.36767406412513,0.249827942188575,0.430222222222222,0.430222222222222,0.180394280033647,"Higher in TH2","nRPC","nPRC",1453,1125
"Tcf12","TH2",-2.79197090247926,624451,0.382014835206852,7.84303554511174e-25,1.94832480553568e-22,14.1694239873315,11.3774530848523,0.983482450103235,0.974222222222222,0.983482450103235,-0.00926022788101244,"Higher in TH1","nRPC","nPRC",1453,1125
"Tmem132d","TH2",1.16208701758419,965719.5,0.590789630649232,1.22872271249069e-24,2.97965257778993e-22,0.85462185164614,2.01670886923033,0.18582243633861,0.359111111111111,0.359111111111111,0.173288674772501,"Higher in TH2","nRPC","nPRC",1453,1125
"Eps8","TH2",0.298534024833322,921321.5,0.563628661007876,1.29134821533467e-24,3.05869338911247e-22,0.126729770324818,0.42526379515814,0.0536820371644873,0.181333333333333,0.181333333333333,0.127651296168846,"Higher in TH2","nRPC","nPRC",1453,1125
"6820431F20Rik","TH2",-1.44050014760005,627080,0.383623155157911,2.0476877400827e-24,4.73993173471415e-22,4.41412753813745,2.9736273905374,0.821059876118376,0.749333333333333,0.821059876118376,-0.0717265427850424,"Higher in TH1","nRPC","nPRC",1453,1125
"Chn2","TH2",-1.92634196316658,632570,0.38698172363692,2.84213402107921e-24,6.43269666770928e-22,4.10808629371822,2.18174433055163,0.663454920853407,0.538666666666667,0.663454920853407,-0.12478825418674,"Higher in TH1","nRPC","nPRC",1453,1125
"Nrxn3","TH2",7.4499889583836,969949,0.593377074252504,3.25218578753764e-24,7.20076353175454e-22,1.71498878491306,9.16497774329666,0.225051617343427,0.376,0.376,0.150948382656573,"Higher in TH2","nRPC","nPRC",1453,1125
"Mxra7","TH2",-1.20279002566169,631214.5,0.386152481455991,6.30346779192881e-24,1.36597488214457e-21,3.18620420037787,1.98341417471618,0.735719201651755,0.620444444444444,0.735719201651755,-0.11527475720731,"Higher in TH1","nRPC","nPRC",1453,1125
"Miat","TH2",-3.95251791523568,628991.5,0.384792536514491,9.14634426721902e-24,1.94073992420053e-21,12.4021864655181,8.44966855028244,0.93805918788713,0.886222222222222,0.93805918788713,-0.0518369656649078,"Higher in TH1","nRPC","nPRC",1453,1125
"Arrdc3","TH2",-0.684904023744731,652939,0.399442685631261,9.71205459260783e-24,2.01871991889206e-21,1.40939894092936,0.724494917184625,0.456297315898142,0.282666666666667,0.456297315898142,-0.173630649231475,"Higher in TH1","nRPC","nPRC",1453,1125
"Zfp521","TH2",1.10739709111676,999305,0.611335933318039,1.72087836122455e-23,3.50542922181441e-21,2.22214027751299,3.32953736862976,0.539573296627667,0.723555555555556,0.723555555555556,0.183982258927889,"Higher in TH2","nRPC","nPRC",1453,1125
"Acyp2","TH2",0.704770298817542,965941.5,0.590925441615049,2.1040586126552e-23,4.20192881762612e-21,0.63924540023446,1.344015699052,0.207845836200964,0.382222222222222,0.382222222222222,0.174376386021259,"Higher in TH2","nRPC","nPRC",1453,1125
"Ndufc2","TH2",0.687081478526066,991003,0.606257092605338,2.68639614839906e-23,5.2617201483547e-21,1.15709332617145,1.84417480469751,0.410185822436339,0.596444444444444,0.596444444444444,0.186258622008106,"Higher in TH2","nRPC","nPRC",1453,1125
"Wwtr1","TH2",0.735443091404746,974434,0.596120822818689,3.44762166082773e-23,6.62528804066612e-21,0.763229245185073,1.49867233658982,0.263592567102546,0.441777777777778,0.441777777777778,0.178185210675231,"Higher in TH2","nRPC","nPRC",1453,1125
"Gpc4","TH2",0.62603806740689,956819,0.585344650913818,6.60420513388656e-23,1.24562646830805e-20,0.450715496285575,1.07675356369247,0.175498967653131,0.336,0.336,0.160501032346869,"Higher in TH2","nRPC","nPRC",1453,1125
"Cracd","TH2",-2.08124995020509,633139.5,0.38733012158752,8.36141321711088e-23,1.52073202886204e-20,8.02175714597085,5.94050719576576,0.922229869236063,0.888,0.922229869236063,-0.0342298692360633,"Higher in TH1","nRPC","nPRC",1453,1125
"Erbb4","TH2",1.00374746177749,955352,0.584447197369427,8.28589648990673e-23,1.52073202886204e-20,0.79946275199784,1.80321021377533,0.168616655196146,0.332444444444444,0.332444444444444,0.163827789248299,"Higher in TH2","nRPC","nPRC",1453,1125
"Kcnq1ot1","TH2",1.5700801480968,998059,0.610573678978359,1.36217290554043e-22,2.4339879022683e-20,3.36392446202664,4.93400461012345,0.622161046111493,0.792888888888889,0.792888888888889,0.170727842777395,"Higher in TH2","nRPC","nPRC",1453,1125
"Nedd4l","TH2",-0.878366288607746,658441.5,0.402808901124111,1.11437946827428e-21,1.95688877316786e-19,1.78878721153511,0.910420922927362,0.47143840330351,0.310222222222222,0.47143840330351,-0.161216181081288,"Higher in TH1","nRPC","nPRC",1453,1125
"Rps27","TH2",1.06054091010732,993809.5,0.60797400015294,1.22261902373577e-21,2.1105719926693e-19,2.32231085824697,3.38285176835429,0.619408121128699,0.787555555555556,0.787555555555556,0.168147434426856,"Higher in TH2","nRPC","nPRC",1453,1125
"Cfap54","TH2",-0.266968994807609,726419.5,0.444395197675308,1.31289365586187e-21,2.22863698082552e-19,0.340046802363028,0.0730778075554191,0.143152099105299,0.032,0.143152099105299,-0.111152099105299,"Higher in TH1","nRPC","nPRC",1453,1125
"Acsl3","TH2",1.84821982777341,995296,0.608883383038923,2.05202691639997e-21,3.42621215467765e-19,5.60073000741826,7.44894983519167,0.857536132140399,0.929777777777778,0.929777777777778,0.0722416456373787,"Higher in TH2","nRPC","nPRC",1453,1125
"Mpp7","TH2",-1.71530894831868,648225,0.396558843771507,5.40052127204786e-21,8.87166276706572e-19,3.62168658187036,1.90637763355169,0.630419821059876,0.493333333333333,0.630419821059876,-0.137086487726543,"Higher in TH1","nRPC","nPRC",1453,1125
"Mylip","TH2",0.300715548332663,915263.5,0.559922612219928,7.15582877386922e-21,1.15685898510886e-18,0.126958177753276,0.427673726085939,0.0653819683413627,0.183111111111111,0.183111111111111,0.117729142769748,"Higher in TH2","nRPC","nPRC",1453,1125
"Gadd45a","TH2",-0.384231241168933,710367,0.434574902500574,1.2098162493016e-20,1.92530914049012e-18,0.544999075346782,0.160767834177849,0.200963523743978,0.0728888888888889,0.200963523743978,-0.128074634855089,"Higher in TH1","nRPC","nPRC",1453,1125
"Mast4","TH2",1.11663576209313,980975.5,0.600122658102011,1.27485865451035e-20,1.99760544556737e-18,1.65374121570039,2.77037697779352,0.433585684790089,0.6,0.6,0.16641431520991,"Higher in TH2","nRPC","nPRC",1453,1125
"Maged1","TH2",0.629760270067159,976400,0.597323545155617,4.36690067582861e-20,6.7389217247446e-18,1.06901907129033,1.69877934135749,0.401238816242257,0.569777777777778,0.569777777777778,0.16853896153552,"Higher in TH2","nRPC","nPRC",1453,1125
"Pawr","TH2",0.586923830269251,956008,0.584848512655808,4.68869940684385e-20,7.12752290428427e-18,0.657050464270747,1.24397429454,0.225051617343427,0.387555555555556,0.387555555555556,0.162503938212128,"Higher in TH2","nRPC","nPRC",1453,1125
"Ndufa4","TH2",0.734336984453271,980509,0.599837271545462,4.91965362520834e-20,7.36862826069809e-18,1.45118826565326,2.18552525010653,0.46180316586373,0.64,0.64,0.17819683413627,"Higher in TH2","nRPC","nPRC",1453,1125
"Pmepa1","TH2",1.85469105239777,987316.5,0.604001835283322,7.37826329492491e-20,1.08909582114218e-17,4.43016736187804,6.28485841427581,0.719889883000688,0.847111111111111,0.847111111111111,0.127221228110423,"Higher in TH2","nRPC","nPRC",1453,1125
"Sptbn1","TH2",1.0937841073461,984709,0.60240666819607,9.77969773985344e-20,1.42294602114868e-17,2.36365155726208,3.45743566460818,0.60977288368892,0.754666666666667,0.754666666666667,0.144893782977747,"Higher in TH2","nRPC","nPRC",1453,1125
"Lrrc4c","TH2",1.42788138588024,976253.5,0.597233922153399,1.19100544637186e-19,1.70850570018274e-17,2.57544174970806,4.0033231355883,0.421885753613214,0.598222222222222,0.598222222222222,0.176336468609008,"Higher in TH2","nRPC","nPRC",1453,1125
