"gene","group","log2FC_TH2_vs_TH1","statistic","auc","p_value","padj","mean_expression_TH1","mean_expression_TH2","pct_detected_TH1","pct_detected_TH2","max_pct_detected","delta_pct_detected_TH2_minus_TH1","direction","celltype_output_label","manual_celltype","n_cells_TH1","n_cells_TH2"
"Map2","TH2",2.72291639547184,37041674,0.676086069313942,0,0,2.10236635567849,4.82528275115033,0.418398876404494,0.694606887589344,0.694606887589344,0.276208011184849,"Higher in TH2","pRPC","pRPC",7120,7695
"Cd44","TH2",-0.927690268308741,20364512,0.371693862204408,0,0,1.00933237566105,0.0816421073523045,0.281460674157303,0.0256010396361274,0.281460674157303,-0.255859634521176,"Higher in TH1","pRPC","pRPC",7120,7695
"Gm56714","TH2",-0.486166964495044,23181718.5,0.423113624416847,8.5347897481772e-259,2.59286912549623e-255,0.503165721842686,0.0169987573476425,0.160112359550562,0.00649772579597141,0.160112359550562,-0.15361463375459,"Higher in TH1","pRPC","pRPC",7120,7695
"Slc15a2","TH2",-0.502045901923412,23577534.5,0.430338073387797,2.67215137919346e-216,6.0884969174923e-213,0.544050342037432,0.0420044401140203,0.15126404494382,0.0119558154645874,0.15126404494382,-0.139308229479233,"Higher in TH1","pRPC","pRPC",7120,7695
"Adcy2","TH2",-1.15301189272011,21229816,0.387487424345299,4.2120617081154e-192,7.67774608155275e-189,1.86686107457942,0.713849181859308,0.400421348314607,0.18856400259909,0.400421348314607,-0.211857345715516,"Higher in TH1","pRPC","pRPC",7120,7695
"Adamtsl1","TH2",-1.3963675424053,22072912.5,0.402875654335589,1.91769063150943e-182,2.91297206926283e-179,2.05138202445335,0.655014482048048,0.307303370786517,0.117478882391163,0.307303370786517,-0.189824488395354,"Higher in TH1","pRPC","pRPC",7120,7695
"Gm42047","TH2",-1.61958060081844,21342994.5,0.389553162713275,4.30527385470658e-177,4.9607312989311e-174,2.81242816929476,1.19284756847631,0.419101123595506,0.210266406757635,0.419101123595506,-0.208834716837871,"Higher in TH1","pRPC","pRPC",7120,7695
"Gm56626","TH2",-0.440116330906182,23702840.5,0.432625163355747,4.3543834092e-177,4.9607312989311e-174,0.519797192736808,0.0796808618306259,0.161376404494382,0.0269005847953216,0.161376404494382,-0.13447581969906,"Higher in TH1","pRPC","pRPC",7120,7695
"Rps18-ps6","TH2",0.476580104185761,31509907,0.575120043658877,1.74867612712027e-170,1.77082602473046e-167,0.123956909633666,0.600537013819427,0.0445224719101124,0.193762183235867,0.193762183235867,0.149239711325755,"Higher in TH2","pRPC","pRPC",7120,7695
"6820431F20Rik","TH2",-1.62407582784093,20389286.5,0.372146047338488,1.37391088424481e-164,1.25218237990072e-161,4.55872136023966,2.93464553239873,0.766994382022472,0.619753086419753,0.766994382022472,-0.147241295602719,"Higher in TH1","pRPC","pRPC",7120,7695
"Cfap54","TH2",-0.540484271071713,23515951.5,0.429214058085288,1.25092738086532e-155,1.03645019538241e-152,0.708859647607984,0.168375376536271,0.191713483146067,0.0505523066926576,0.191713483146067,-0.14116117645341,"Higher in TH1","pRPC","pRPC",7120,7695
"4833420G17Rik","TH2",1.22499229425244,33867708,0.618154718882099,5.94233898281588e-154,4.51320645744866e-151,1.57377897463774,2.79877126889019,0.422191011235955,0.603118908382066,0.603118908382066,0.180927897146111,"Higher in TH2","pRPC","pRPC",7120,7695
"Pawr","TH2",1.38053499821579,33553142.5,0.612413257185828,1.34232249849481e-153,9.41071327021666e-151,1.36032508773914,2.74086008595493,0.317977528089888,0.5137102014295,0.5137102014295,0.195732673339612,"Higher in TH2","pRPC","pRPC",7120,7695
"Plppr1","TH2",2.96565238470163,34170647.5,0.623683982375831,8.00268678163656e-152,5.2097490948454e-149,5.67789850849295,8.64355089319458,0.685814606741573,0.821052631578947,0.821052631578947,0.135238024837374,"Higher in TH2","pRPC","pRPC",7120,7695
"Ndufc2","TH2",1.00359238494716,33483475,0.611141683276022,7.76724628793224e-151,4.71937884454763e-148,1.08353750991506,2.08712989486221,0.31502808988764,0.509811565951917,0.509811565951917,0.194783476064276,"Higher in TH2","pRPC","pRPC",7120,7695
"Gnai2","TH2",1.26052592344992,33777896,0.616515466777639,1.29501465106276e-144,7.37672720611627e-142,1.85663274678565,3.11715867023557,0.478230337078652,0.648992852501624,0.648992852501624,0.170762515422973,"Higher in TH2","pRPC","pRPC",7120,7695
"H3f3b","TH2",-2.31413465991206,20777585,0.379233286608114,5.6731032950896e-143,3.0414507900851e-140,8.95257124343488,6.63843658352282,0.920224719101124,0.855360623781676,0.920224719101124,-0.0648640953194471,"Higher in TH1","pRPC","pRPC",7120,7695
"Mdga2","TH2",3.61378819162306,33831026,0.617485197596572,1.21815952739723e-137,6.16794774038795e-135,7.57503871552316,11.1888269071462,0.661938202247191,0.809746588693957,0.809746588693957,0.147808386446766,"Higher in TH2","pRPC","pRPC",7120,7695
"Gm35082","TH2",0.319720232658235,30041553,0.548319589548153,2.65667067172287e-134,1.2743629737938e-131,0.0287978383351716,0.348518070993406,0.010252808988764,0.106692657569851,0.106692657569851,0.0964398485810865,"Higher in TH2","pRPC","pRPC",7120,7695
"Chst11","TH2",-1.51708155611591,21537616,0.393105401873389,8.72208084938275e-131,3.97465224306372e-128,3.23490874030062,1.71782718418471,0.55941011235955,0.399350227420403,0.55941011235955,-0.160059884939148,"Higher in TH1","pRPC","pRPC",7120,7695
"Grb10","TH2",-1.96381307368571,21396726,0.390533872133517,8.877711040318e-120,3.85292659149801e-117,6.23114424977119,4.26733117608548,0.79311797752809,0.686549707602339,0.79311797752809,-0.106568269925751,"Higher in TH1","pRPC","pRPC",7120,7695
"Syt1","TH2",2.04391234726315,32934726.5,0.60112590438852,4.3919797673048e-109,1.819477436328e-106,3.17941495434605,5.2233273016092,0.494522471910112,0.644054580896686,0.644054580896686,0.149532108986574,"Higher in TH2","pRPC","pRPC",7120,7695
"Acyp2","TH2",0.811912922705951,31641052,0.577513707281103,2.14130578774906e-105,8.48515693458476e-103,0.624653269738473,1.43656619244442,0.163061797752809,0.310981156595192,0.310981156595192,0.147919358842383,"Higher in TH2","pRPC","pRPC",7120,7695
"Nedd4l","TH2",-0.701341434917102,23063681.5,0.420959208518592,6.825250277484e-102,2.59188879287455e-99,1.40315139043256,0.701809955515459,0.343539325842697,0.19311241065627,0.343539325842697,-0.150426915186426,"Higher in TH1","pRPC","pRPC",7120,7695
