"cluster","sample_id","n_cells"
"C1","TH1",15
"C1","TH2",67
"C2","TH1",8
"C2","TH2",89
"C3","TH1",50
"C3","TH2",3
"C4","TH1",13
"C4","TH2",56
"C5","TH1",56
"C5","TH2",47
"C6","TH1",48
"C6","TH2",79
"C7","TH1",59
"C7","TH2",69
"C8","TH1",33
"C8","TH2",20
"C9","TH1",95
"C9","TH2",90
"C10","TH1",31
"C10","TH2",55
"C11","TH1",38
"C11","TH2",48
"C12","TH1",62
"C12","TH2",57
"C13","TH1",85
"C13","TH2",68
"C14","TH1",9
"C14","TH2",8
"C15","TH1",38
"C15","TH2",57
"C16","TH1",68
"C16","TH2",120
"C17","TH1",55
"C17","TH2",84
