"cluster","sample_id","n_cells"
"C1","TH1",187
"C1","TH2",266
"C2","TH1",518
"C2","TH2",413
"C3","TH1",169
"C3","TH2",80
"C4","TH1",259
"C4","TH2",158
"C5","TH1",194
"C5","TH2",208
"C6","TH1",202
"C6","TH2",160
"C7","TH1",421
"C7","TH2",287
"C8","TH1",149
"C8","TH2",97
"C9","TH1",80
"C9","TH2",33
"C10","TH1",724
"C10","TH2",735
"C11","TH1",738
"C11","TH2",547
"C12","TH1",634
"C12","TH2",956
"C13","TH1",1450
"C13","TH2",1532
"C14","TH1",1254
"C14","TH2",1307
"C15","TH1",104
"C15","TH2",64
"C16","TH1",2906
"C16","TH2",3104
"C17","TH1",1143
"C17","TH2",1338
"C18","TH1",601
"C18","TH2",558
"C19","TH1",557
"C19","TH2",426
"C20","TH1",689
"C20","TH2",543
"C21","TH1",208
"C21","TH2",248
"C22","TH1",435
"C22","TH2",1114
"C23","TH1",420
"C23","TH2",247
"C24","TH1",760
"C24","TH2",1016
"C25","TH1",799
"C25","TH2",495
