"source_cluster","highres_cluster","n_cells"
"C21","C1",673
"C13","C10",22
"C14","C10",3115
"C16","C10",2
"C22","C10",24
"C19","C11",606
"C9","C11",305
"C11","C12",2
"C9","C12",1186
"C10","C13",1280
"C11","C14",1592
"C9","C14",4
"C15","C15",6
"C17","C15",1
"C18","C15",983
"C15","C16",1097
"C15","C17",125
"C17","C17",455
"C19","C17",1
"C20","C17",3
"C1","C18",2
"C3","C18",415
"C4","C18",401
"C2","C19",249
"C3","C19",1
"C19","C2",960
"C1","C20",453
"C1","C21",926
"C17","C21",1
"C18","C21",2
"C4","C21",1
"C5","C22",362
"C6","C23",708
"C7","C24",246
"C8","C25",113
"C17","C3",1
"C18","C3",366
"C19","C3",299
"C10","C4",4
"C13","C4",1
"C15","C4",1
"C19","C4",2
"C20","C4",1662
"C9","C4",1
"C12","C5",5
"C13","C5",2
"C15","C5",3
"C16","C5",1
"C20","C5",115
"C21","C5",590
"C22","C5",6
"C13","C6",4
"C19","C6",1
"C21","C6",14
"C22","C6",538
"C9","C6",1
"C13","C7",1
"C14","C7",6
"C16","C7",154
"C12","C8",5494
"C13","C8",81
"C12","C9",4
"C13","C9",5735
"C14","C9",107
"C16","C9",11
"C22","C9",1
