"source_cluster","highres_cluster","n_cells"
"C18","C1",909
"C7","C10",246
"C8","C11",113
"C9","C11",1
"C19","C12",604
"C9","C12",547
"C10","C13",1280
"C11","C14",214
"C17","C14",1
"C9","C14",948
"C11","C15",1379
"C12","C16",5491
"C13","C16",70
"C13","C17",41
"C14","C17",6
"C16","C17",167
"C12","C18",7
"C13","C18",5691
"C14","C18",79
"C13","C19",33
"C14","C19",3143
"C22","C19",23
"C15","C2",1099
"C18","C2",8
"C10","C20",4
"C11","C20",1
"C15","C20",1
"C19","C20",2
"C20","C20",1661
"C22","C20",3
"C9","C20",1
"C12","C21",5
"C13","C21",11
"C15","C21",3
"C16","C21",1
"C20","C21",116
"C21","C21",594
"C22","C21",69
"C19","C22",1
"C21","C22",15
"C22","C22",474
"C21","C23",668
"C19","C24",1252
"C15","C25",4
"C18","C25",433
"C19","C25",9
"C15","C3",125
"C17","C3",457
"C18","C3",1
"C19","C3",1
"C20","C3",3
"C1","C4",2
"C3","C4",415
"C4","C4",401
"C2","C5",249
"C3","C5",1
"C1","C6",453
"C1","C7",926
"C4","C7",1
"C5","C8",362
"C6","C9",708
