"cluster","sample_id","n_cells"
"C1","TH1",441
"C1","TH2",537
"C2","TH1",2638
"C2","TH2",2821
"C3","TH1",1294
"C3","TH2",995
"C4","TH1",132
"C4","TH2",87
"C5","TH1",2952
"C5","TH2",2805
"C6","TH1",1155
"C6","TH2",1853
"C7","TH1",407
"C7","TH2",261
"C8","TH1",414
"C8","TH2",832
"C9","TH1",216
"C9","TH2",143
"C10","TH1",22
"C10","TH2",51
"C11","TH1",545
"C11","TH2",828
"C12","TH1",743
"C12","TH2",548
"C13","TH1",19
"C13","TH2",11
"C14","TH1",425
"C14","TH2",550
"C15","TH1",581
"C15","TH2",740
"C16","TH1",150
"C16","TH2",97
"C17","TH1",605
"C17","TH2",602
"C18","TH1",622
"C18","TH2",446
"C19","TH1",623
"C19","TH2",447
"C20","TH1",80
"C20","TH2",33
"C21","TH1",263
"C21","TH2",228
"C22","TH1",398
"C22","TH2",268
"C23","TH1",261
"C23","TH2",189
"C24","TH1",341
"C24","TH2",317
"C25","TH1",274
"C25","TH2",243
