"source_cluster","highres_cluster","n_cells","resolution","cluster_mode"
"C20","C11",1,1.2,"global_highres"
"C20","C17",2,1.2,"global_highres"
"C20","C21",1,1.2,"global_highres"
"C20","C22",1,1.2,"global_highres"
"C20","C24",1775,1.2,"global_highres"
"C20","C1",111,1.4,"global_highres"
"C20","C2",1,1.4,"global_highres"
"C20","C6",688,1.4,"global_highres"
"C20","C7",977,1.4,"global_highres"
"C20","C9",3,1.4,"global_highres"
"C20","C17",3,1.6,"global_highres"
"C20","C4",1662,1.6,"global_highres"
"C20","C5",115,1.6,"global_highres"
"C20","C1",403,0.8,"c20_only"
"C20","C2",292,0.8,"c20_only"
"C20","C3",389,0.8,"c20_only"
"C20","C4",336,0.8,"c20_only"
"C20","C5",123,0.8,"c20_only"
"C20","C6",237,0.8,"c20_only"
"C20","C1",139,1.2,"c20_only"
"C20","C10",171,1.2,"c20_only"
"C20","C2",278,1.2,"c20_only"
"C20","C3",256,1.2,"c20_only"
"C20","C4",266,1.2,"c20_only"
"C20","C5",168,1.2,"c20_only"
"C20","C6",14,1.2,"c20_only"
"C20","C7",67,1.2,"c20_only"
"C20","C8",299,1.2,"c20_only"
"C20","C9",122,1.2,"c20_only"
"C20","C1",155,1.6,"c20_only"
"C20","C10",83,1.6,"c20_only"
"C20","C11",235,1.6,"c20_only"
"C20","C2",250,1.6,"c20_only"
"C20","C3",249,1.6,"c20_only"
"C20","C4",245,1.6,"c20_only"
"C20","C5",173,1.6,"c20_only"
"C20","C6",70,1.6,"c20_only"
"C20","C7",135,1.6,"c20_only"
"C20","C8",169,1.6,"c20_only"
"C20","C9",16,1.6,"c20_only"
"C20","C1",16,2,"c20_only"
"C20","C10",206,2,"c20_only"
"C20","C11",111,2,"c20_only"
"C20","C12",127,2,"c20_only"
"C20","C13",221,2,"c20_only"
"C20","C14",47,2,"c20_only"
"C20","C2",85,2,"c20_only"
"C20","C3",119,2,"c20_only"
"C20","C4",155,2,"c20_only"
"C20","C5",163,2,"c20_only"
"C20","C6",143,2,"c20_only"
"C20","C7",79,2,"c20_only"
"C20","C8",202,2,"c20_only"
"C20","C9",106,2,"c20_only"
"C20","C1",82,2.5,"c20_only"
"C20","C10",86,2.5,"c20_only"
"C20","C11",86,2.5,"c20_only"
"C20","C12",119,2.5,"c20_only"
"C20","C13",153,2.5,"c20_only"
"C20","C14",17,2.5,"c20_only"
"C20","C15",95,2.5,"c20_only"
"C20","C16",188,2.5,"c20_only"
"C20","C17",139,2.5,"c20_only"
"C20","C2",97,2.5,"c20_only"
"C20","C3",53,2.5,"c20_only"
"C20","C4",69,2.5,"c20_only"
"C20","C5",103,2.5,"c20_only"
"C20","C6",127,2.5,"c20_only"
"C20","C7",128,2.5,"c20_only"
"C20","C8",53,2.5,"c20_only"
"C20","C9",185,2.5,"c20_only"
