"cluster","module","GeneScoreMatrix_mean_score","n_markers_used"
"C1","Rod",0.174592117758784,9
"C10","Rod",0.249017271157168,9
"C11","Rod",0.234271915800693,9
"C12","Rod",0.218038208168643,9
"C13","Rod",0.230335754054708,9
"C14","Rod",0.187998412698413,9
"C15","Rod",0.308436111111111,9
"C16","Rod",0.208124302788845,9
"C17","Rod",0.574693194646025,9
"C18","Rod",0.467391410321062,9
"C19","Rod",0.885074348735501,9
"C2","Rod",0.180105583195135,9
"C20","Rod",0.245887038750128,9
"C21","Rod",0.276793002136752,9
"C22","Rod",0.251119469026549,9
"C23","Rod",0.3469707261847,9
"C24","Rod",0.30953796517281,9
"C3","Rod",0.20514096185738,9
"C4","Rod",0.195435001340178,9
"C5","Rod",0.194961043693743,9
"C6","Rod",0.190643179765131,9
"C7","Rod",0.179141129303955,9
"C8","Rod",0.202563269197435,9
"C9","Rod",0.210476964769648,9
"C1","Cone",0.0902649572649573,6
"C10","Cone",0.0796934369602763,6
"C11","Cone",0.0896302957633893,6
"C12","Cone",0.0922200263504611,6
"C13","Cone",0.0748925199709513,6
"C14","Cone",0.0634444444444445,6
"C15","Cone",0.0937944444444444,6
"C16","Cone",0.0712017264276228,6
"C17","Cone",0.162116956942429,6
"C18","Cone",0.346974281391831,6
"C19","Cone",0.139433827723902,6
"C2","Cone",0.0612252625760089,6
"C20","Cone",0.0685251310514955,6
"C21","Cone",0.0575324519230769,6
"C22","Cone",0.0728651917404129,6
"C23","Cone",0.105036390101892,6
"C24","Cone",0.102866083267038,6
"C3","Cone",0.0897313432835821,6
"C4","Cone",0.0662965918228489,6
"C5","Cone",0.053645293538865,6
"C6","Cone",0.0702222222222222,6
"C7","Cone",0.059536941580756,6
"C8","Cone",0.0640397165886636,6
"C9","Cone",0.0883109756097561,6
"C1","BC",0.60209188034188,12
"C10","BC",0.749692573402418,12
"C11","BC",0.811020283772982,12
"C12","BC",0.700236166007905,12
"C13","BC",0.691377814088598,12
"C14","BC",0.666050198412698,12
"C15","BC",0.669547916666667,12
"C16","BC",0.704837583001328,12
"C17","BC",0.633406325592646,12
"C18","BC",0.65938313161876,12
"C19","BC",0.590832810420232,12
"C2","BC",0.519625483692648,12
"C20","BC",0.676486663583102,12
"C21","BC",0.617357371794872,12
"C22","BC",0.610594469026549,12
"C23","BC",0.626600921882581,12
"C24","BC",0.672219238928666,12
"C3","BC",0.532924129353234,12
"C4","BC",0.535986623987134,12
"C5","BC",0.527512244451733,12
"C6","BC",0.576188346883469,12
"C7","BC",0.52368053871033,12
"C8","BC",0.467323485439418,12
"C9","BC",0.785814024390244,12
"C1","AC",0.546738247863248,8
"C10","AC",0.803363341968912,8
"C11","AC",0.652657224220623,8
"C12","AC",1.01847924901186,8
"C13","AC",0.905290849673203,8
"C14","AC",1.01088511904762,8
"C15","AC",0.768361458333333,8
"C16","AC",0.979434760956175,8
"C17","AC",0.46067861030479,8
"C18","AC",0.354096917549168,8
"C19","AC",0.38705982601255,8
"C2","AC",0.551987976782753,8
"C20","AC",0.898543131359852,8
"C21","AC",0.645333533653846,8
"C22","AC",0.548085508849558,8
"C23","AC",0.526161390101892,8
"C24","AC",0.509299025457438,8
"C3","AC",0.539347014925373,8
"C4","AC",0.551167725923177,8
"C5","AC",0.533263857002296,8
"C6","AC",0.65432012195122,8
"C7","AC",0.555256177986659,8
"C8","AC",0.565591799921997,8
"C9","AC",0.743414634146341,8
"C1","MG",0.515494172494173,11
"C10","MG",0.443697597739049,11
"C11","MG",0.515648027032919,11
"C12","MG",0.525157024793388,11
"C13","MG",0.484389582095464,11
"C14","MG",0.502186147186147,11
"C15","MG",0.445208333333333,11
"C16","MG",0.493568199927562,11
"C17","MG",0.408976711967278,11
"C18","MG",0.380260143033971,11
"C19","MG",0.375749572162008,11
"C2","MG",0.557864465551033,11
"C20","MG",0.468884450424691,11
"C21","MG",0.51421131993007,11
"C22","MG",0.464223250201126,11
"C23","MG",0.438110890565039,11
"C24","MG",0.431472047443408,11
"C3","MG",0.559814111261872,11
"C4","MG",0.588263061117765,11
"C5","MG",0.556520766868422,11
"C6","MG",0.587240206947524,11
"C7","MG",0.58552235514637,11
"C8","MG",0.605947666997589,11
"C9","MG",0.474327050997783,11
"C1","HC",0.310078347578348,6
"C10","HC",0.344604490500864,6
"C11","HC",0.338468225419664,6
"C12","HC",0.382607378129117,6
"C13","HC",0.475184822076979,6
"C14","HC",0.366367063492063,6
"C15","HC",0.367238888888889,6
"C16","HC",0.388343160690571,6
"C17","HC",0.36451221577165,6
"C18","HC",0.336926374180535,6
"C19","HC",0.349519775622742,6
"C2","HC",0.32672498618021,6
"C20","HC",0.382870336108541,6
"C21","HC",0.356595352564103,6
"C22","HC",0.337097197640118,6
"C23","HC",0.368394226103833,6
"C24","HC",0.328449482895784,6
"C3","HC",0.241009950248756,6
"C4","HC",0.307734304447331,6
"C5","HC",0.299524543566197,6
