"cluster","module","GeneExpressionMatrix_mean_score","n_markers_used"
"C1","Rod",0.0194278665553997,9
"C10","Rod",0.360433258594968,9
"C11","Rod",2.9535043297159,9
"C12","Rod",0.019516770103565,9
"C13","Rod",0.0203218035961232,9
"C14","Rod",0.031509709498535,9
"C15","Rod",0.0352817287628413,9
"C16","Rod",0.0642697541328544,9
"C17","Rod",0.564271482238409,9
"C18","Rod",0.0226269340980167,9
"C19","Rod",0.0461261468041587,9
"C2","Rod",0.0223533634571055,9
"C20","Rod",0.44897107217195,9
"C21","Rod",0.0410040870796605,9
"C22","Rod",0.0233823206755788,9
"C3","Rod",0.0154843543771183,9
"C4","Rod",0.021248219862455,9
"C5","Rod",0.0576557533721955,9
"C6","Rod",0.0223925016309004,9
"C7","Rod",0.0463560430371372,9
"C8","Rod",0.0431404016306485,9
"C9","Rod",0.628885374053789,9
"C1","Cone",0.0133772930252488,6
"C10","Cone",2.67332603303479,6
"C11","Cone",0.296938360546616,6
"C12","Cone",0.0136060551868548,6
"C13","Cone",0.0156940474554922,6
"C14","Cone",0.0187387199995547,6
"C15","Cone",0.0240219605836741,6
"C16","Cone",0.0383396854583766,6
"C17","Cone",0.254437734931935,6
"C18","Cone",0.0124870102749826,6
"C19","Cone",0.0190174287608536,6
"C2","Cone",0.0158191156446353,6
"C20","Cone",0.316439159433651,6
"C21","Cone",0.0136384067219701,6
"C22","Cone",0.0177622492953199,6
"C3","Cone",0.0205295039155385,6
"C4","Cone",0.0180003441092884,6
"C5","Cone",0.0534870317965918,6
"C6","Cone",0.0122463463230968,6
"C7","Cone",0.0230565205321661,6
"C8","Cone",0.023176430837206,6
"C9","Cone",0.104706341367597,6
"C1","BC",9.85588045887452,17
"C10","BC",7.05244251701146,17
"C11","BC",4.09575054045576,17
"C12","BC",0.55359515307057,17
"C13","BC",0.617935781339564,17
"C14","BC",0.545846545192168,17
"C15","BC",5.48209009447972,17
"C16","BC",0.488708278442901,17
"C17","BC",6.42262939238428,17
"C18","BC",10.2726064561909,17
"C19","BC",1.06880711238717,17
"C2","BC",10.2092278703686,17
"C20","BC",2.02885032309465,17
"C21","BC",0.50289599968126,17
"C22","BC",0.581385525309497,17
"C3","BC",8.49381841450528,17
"C4","BC",7.05359828274847,17
"C5","BC",2.45108867622407,17
"C6","BC",2.74680899552303,17
"C7","BC",6.79134035665404,17
"C8","BC",7.95526072133261,17
"C9","BC",3.21640022212253,17
"C1","AC",9.05620370520143,8
