"group","TH1_n_cells","TH1_percent","TH2_n_cells","TH2_percent","delta_percent_TH2_minus_TH1","ratio_percent_TH2_over_TH1"
"C19",631,4.04461252483815,1238,7.77052473010294,3.72591220526479,1.92120374507664
"C14",1428,9.1532594064483,1800,11.2980165704243,2.144757163976,1.23431622209517
"C21",785,5.03172873533748,492,3.08812452924931,-1.94360420608817,0.61373032841807
"C11",641,4.10871098006538,953,5.98167210645242,1.87296112638704,1.455851271962
"C20",763,4.89071213383757,1017,6.38337936228973,1.49266722845216,1.30520447485036
"C18",785,5.03172873533748,566,3.5525985438112,-1.47913019152628,0.706039361554121
"C10",737,4.72405615024678,547,3.4333417022345,-1.29071444801228,0.726778343236912
"C22",374,2.39728222549837,195,1.2239517951293,-1.17333043036907,0.510558073684818
"C15",689,4.41638356515608,543,3.40823499874466,-1.00814856641141,0.771725315172939
"C6",421,2.69854496506634,287,1.80140597539543,-0.897138989670912,0.667547140668506
"C3",259,1.66014999038523,157,0.985438111975898,-0.674711878409334,0.593583783202161
"C2",169,1.08326389334017,80,0.502134069796636,-0.581129823543535,0.463538084195107
"C12",2681,17.1847958464201,2822,17.7127793120763,0.527983465656224,1.0307238718676
"C7",149,0.955066982885712,97,0.608837559628421,-0.346229423257292,0.637481528037785
"C16",108,0.692263316454073,60,0.376600552347477,-0.315662764106597,0.544013446034536
"C8",80,0.512787641817832,33,0.207130303791112,-0.30565733802672,0.403929983680643
"C5",202,1.29478879559003,160,1.00426813959327,-0.290520655996755,0.775623130979932
"C9",720,4.61508877636049,777,4.87697715289982,0.261888376539335,1.05674611892209
"C13",2873,18.4154861867829,2973,18.6605573688175,0.245071182034579,1.01330788552357
"C1",701,4.49330171142875,680,4.2681395932714,-0.225162118157352,0.949889383660872
"C17",210,1.34606755977181,248,1.55661561636957,0.210548056597761,1.15641715385627
"C4",195,1.24991987693097,207,1.29927190559879,0.0493520286678291,1.03948415380753
