"stage","sample_id","group","n_cells","sample_total","proportion","percent"
"clusters_combined","TH1","C1",701,15601,0.0449330171142875,4.49330171142875
"clusters_combined","TH1","C16",108,15601,0.00692263316454073,0.692263316454073
"clusters_combined","TH1","C10",737,15601,0.0472405615024678,4.72405615024678
"clusters_combined","TH1","C17",210,15601,0.0134606755977181,1.34606755977181
"clusters_combined","TH1","C11",641,15601,0.0410871098006538,4.10871098006538
"clusters_combined","TH1","C18",785,15601,0.0503172873533748,5.03172873533748
"clusters_combined","TH1","C12",2681,15601,0.171847958464201,17.1847958464201
"clusters_combined","TH1","C19",631,15601,0.0404461252483815,4.04461252483815
"clusters_combined","TH1","C13",2873,15601,0.184154861867829,18.4154861867829
"clusters_combined","TH1","C2",169,15601,0.0108326389334017,1.08326389334017
"clusters_combined","TH1","C14",1428,15601,0.091532594064483,9.1532594064483
"clusters_combined","TH1","C20",763,15601,0.0489071213383757,4.89071213383757
"clusters_combined","TH1","C15",689,15601,0.0441638356515608,4.41638356515608
"clusters_combined","TH1","C21",785,15601,0.0503172873533748,5.03172873533748
"clusters_combined","TH1","C8",80,15601,0.00512787641817832,0.512787641817832
"clusters_combined","TH1","C22",374,15601,0.0239728222549837,2.39728222549837
"clusters_combined","TH1","C9",720,15601,0.0461508877636049,4.61508877636049
"clusters_combined","TH1","C3",259,15601,0.0166014999038523,1.66014999038523
"clusters_combined","TH1","C4",195,15601,0.0124991987693097,1.24991987693097
"clusters_combined","TH1","C5",202,15601,0.0129478879559003,1.29478879559003
"clusters_combined","TH1","C6",421,15601,0.0269854496506634,2.69854496506634
"clusters_combined","TH1","C7",149,15601,0.00955066982885712,0.955066982885712
"clusters_combined","TH2","C11",953,15932,0.0598167210645242,5.98167210645242
"clusters_combined","TH2","C12",2822,15932,0.177127793120763,17.7127793120763
"clusters_combined","TH2","C13",2973,15932,0.186605573688175,18.6605573688175
"clusters_combined","TH2","C14",1800,15932,0.112980165704243,11.2980165704243
"clusters_combined","TH2","C15",543,15932,0.0340823499874467,3.40823499874466
"clusters_combined","TH2","C1",680,15932,0.042681395932714,4.2681395932714
"clusters_combined","TH2","C16",60,15932,0.00376600552347477,0.376600552347477
"clusters_combined","TH2","C10",547,15932,0.034333417022345,3.4333417022345
"clusters_combined","TH2","C17",248,15932,0.0155661561636957,1.55661561636957
"clusters_combined","TH2","C3",157,15932,0.00985438111975898,0.985438111975898
"clusters_combined","TH2","C18",566,15932,0.035525985438112,3.5525985438112
"clusters_combined","TH2","C4",207,15932,0.0129927190559879,1.29927190559879
"clusters_combined","TH2","C19",1238,15932,0.0777052473010294,7.77052473010294
"clusters_combined","TH2","C5",160,15932,0.0100426813959327,1.00426813959327
"clusters_combined","TH2","C2",80,15932,0.00502134069796636,0.502134069796636
"clusters_combined","TH2","C6",287,15932,0.0180140597539543,1.80140597539543
"clusters_combined","TH2","C20",1017,15932,0.0638337936228973,6.38337936228973
"clusters_combined","TH2","C7",97,15932,0.00608837559628421,0.608837559628421
"clusters_combined","TH2","C21",492,15932,0.0308812452924931,3.08812452924931
"clusters_combined","TH2","C8",33,15932,0.00207130303791112,0.207130303791112
"clusters_combined","TH2","C22",195,15932,0.012239517951293,1.2239517951293
"clusters_combined","TH2","C9",777,15932,0.0487697715289982,4.87697715289982
