"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C1","TSSEnrichment",281,20.6294519572954,17.333,9.52708864756577,11.018,14.301,23.832,39.215
"C10","TSSEnrichment",1510,21.4336662251656,20.193,6.31987753736793,13.861,17.162,24.402,33.0321
"C11","TSSEnrichment",737,17.0506214382632,14.787,6.24715445955602,10.7,12.511,20.469,29.5978
"C12","TSSEnrichment",2551,21.6587432379459,19.911,7.00040224375996,13.552,16.9025,24.806,35.901
"C2","TSSEnrichment",2193,24.4046771545828,23.168,6.99313633337076,15.6432,19.472,27.78,38.1196
"C3","TSSEnrichment",3157,24.421478618942,22.958,7.23321903211002,15.1746,19.38,28.317,37.624
"C4","TSSEnrichment",10075,22.157181439206,20.849,6.76870150240215,13.6051,17.5005,25.4705,35.213
"C5","TSSEnrichment",2582,21.5214759876065,20.34,6.04002194952312,13.861,17.391,24.5405,32.70715
"C6","TSSEnrichment",1481,20.8339014179608,20.01,4.99598884698454,14.21,17.414,23.564,29.771
"C7","TSSEnrichment",1327,22.2345892991711,21.53,5.07835889522926,15.2062,18.831,24.7995,31.9904
"C8","TSSEnrichment",2531,22.2821382852627,21.051,6.31036264041909,14.1855,17.822,25.5385,34.4545
"C9","TSSEnrichment",3322,23.2684358819988,22.2885,6.3242260554549,14.731,18.87025,26.72975,34.94525
"C1","nFrags",281,13291.6512455516,12504,9443.18385961575,1415,6249,18363,29087
"C10","nFrags",1510,8779.83046357616,7275,6395.53237416338,1688.75,4057.25,12120.25,20170.15
"C11","nFrags",737,15170.078697422,13960,9999.62639556416,1922.2,7431,20928,32932.7999999999
"C12","nFrags",2551,10731.0772246178,9301,7307.43528828448,1934,5237.5,14807.5,23738.5
"C2","nFrags",2193,10487.9717282262,9556,6295.99086446615,2125,5872,13938,21813.2
"C3","nFrags",3157,14432.1862527716,13076,9405.52512683015,2397.8,7415,19464,31946.4
"C4","nFrags",10075,7393.99344913151,5933,5487.69448767968,1442.7,3200,10281.5,17703.6
"C5","nFrags",2582,12722.9678543765,10361.5,10061.6241116711,1907,5291,17015.75,31487.95
"C6","nFrags",1481,21026.5860904794,19597,13159.5852315233,3009,10713,28892,45248
"C7","nFrags",1327,15126.6186887717,13604,10397.7275637994,1992.5,7055.5,20715.5,34559.2
"C8","nFrags",2531,8446.26195179771,7009,6322.72184201022,1623.5,3713,11496,20067.5
"C9","nFrags",3322,6856.21312462372,5871,4626.13175895605,1465.1,3229.5,9554.75,15252.85
"C1","log10_nFrags",281,3.98526470593773,4.09708369606652,0.39240123017647,3.15106325335375,3.79588001734408,4.26396728409398,4.46371386154187
"C10","log10_nFrags",1510,3.83017846683029,3.86189267398446,0.328543154009046,3.22781822244527,3.60833859722648,4.08354720645082,4.30473028786255
"C11","log10_nFrags",737,4.05920623935229,4.14491652709285,0.366923127966822,3.28402368802412,3.87110570098559,4.32074847798717,4.51761817839279
"C12","log10_nFrags",2551,3.92340235898922,3.9685763351755,0.327141807514487,3.28668073737383,3.71920661392289,4.17051106349269,4.37547087166045
"C2","log10_nFrags",2193,3.93237443440492,3.98032158600876,0.300200747204816,3.32756326018728,3.76886000084296,4.14423161809055,4.33873923265011
"C3","log10_nFrags",3157,4.05391044112154,4.11650812373735,0.331242141164392,3.37999382258336,3.87016972113644,4.28925440805418,4.5044355192722
"C4","log10_nFrags",10075,3.7497928282638,3.77334754198082,0.334611907971039,3.15947693459158,3.50528567414413,4.01209871766776,4.24808611860852
"C5","log10_nFrags",2582,3.96790306381175,4.01546448238661,0.367260685066871,3.28057837036808,3.72361983551546,4.23087655647491,4.49815816181518
"C6","log10_nFrags",1481,4.21040399075384,4.29221175333185,0.355597304218215,3.47856649559384,4.02995164203684,4.46079263757986,4.65560898576706
"C7","log10_nFrags",1327,4.05422275878921,4.13369854611578,0.369158834046766,3.29961595332259,3.84858925756103,4.31631635586153,4.53857554018159
"C8","log10_nFrags",2531,3.80826361520913,3.84571801796666,0.335157038055655,3.21071969511002,3.56984175772225,4.06058452971806,4.30251348277873
"C9","log10_nFrags",3322,3.733132058547,3.76878604061031,0.314311404245434,3.16616357456886,3.50926960501405,3.98026476795289,4.18337947100385
"C1","NucleosomeRatio",281,0.543980444816923,0.525522470871093,0.102714173260054,0.413947536788228,0.475632183908046,0.59412729169772,0.749391727493917
"C10","NucleosomeRatio",1510,0.529562248692622,0.527792325999854,0.0514230853350282,0.450836218711201,0.494521908082128,0.561167147018451,0.617196128632277
"C11","NucleosomeRatio",737,0.62382224820851,0.614497950819672,0.0751143491495084,0.519367035966774,0.572632151107487,0.658722813512263,0.763325848370498
"C12","NucleosomeRatio",2551,0.573983379080695,0.570196211096076,0.0577420566516492,0.488425066090569,0.536471954537614,0.604612037974552,0.673918750021598
"C2","NucleosomeRatio",2193,0.518250969582562,0.515972894482091,0.0467984449829591,0.446255553213769,0.487156115346371,0.547585024292655,0.596412265651936
"C3","NucleosomeRatio",3157,0.531623125488181,0.529606730830518,0.0496165513694519,0.456818154449069,0.498449726856637,0.561114797611148,0.61162245066538
"C4","NucleosomeRatio",10075,0.543570472453398,0.541278065630397,0.0568237096878173,0.455568120624664,0.505262340662753,0.579873008667672,0.63953066264916
"C5","NucleosomeRatio",2582,0.530629989316738,0.529024963024718,0.0516009077307761,0.449277969154782,0.495925677292616,0.563613068893578,0.617295665671359
"C6","NucleosomeRatio",1481,0.555298941578406,0.553033637221,0.0527271820384845,0.474485910129474,0.5193724420191,0.586985569214324,0.641137220771686
"C7","NucleosomeRatio",1327,0.548591999238694,0.547187832923111,0.0552694580815769,0.461021951412502,0.512905837715917,0.581567564008887,0.639860908812656
