"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C1","TSSEnrichment",181,20.8310662983425,17.266,10.1499859127446,11.018,14.257,23.832,40.366
"C10","TSSEnrichment",33,20.9568181818182,19.325,7.47738292475443,13.1262,15.894,24.95,36.2788
"C11","TSSEnrichment",1257,21.9155879077168,20.489,6.3599947043187,13.8794,17.565,25.288,33.6646
"C12","TSSEnrichment",1848,21.8154274891775,20.4275,6.54934121280577,13.69045,17.23625,25.1,34.556
"C13","TSSEnrichment",1792,22.7410094866071,21.699,6.24379373353703,14.28885,18.411,26.13075,34.66255
"C14","TSSEnrichment",1226,23.1665938009788,22.1665,6.22189118474983,14.95,18.972,26.567,34.3385
"C15","TSSEnrichment",1345,23.4092,22.482,6.21117590572391,14.953,19.038,26.796,35.1026
"C16","TSSEnrichment",113,20.4376991150442,18.746,6.38723863860722,12.4632,16.142,23.029,32.6826
"C17","TSSEnrichment",349,18.8460257879656,18.429,4.64546400710275,12.5422,15.556,21.402,27.3498
"C18","TSSEnrichment",718,16.947438718663,14.5755,6.24507024311398,10.67055,12.46975,20.54775,29.5976
"C19","TSSEnrichment",254,18.6054173228346,17.0345,5.49792080274139,12.10695,14.98775,21.3325,28.1427
"C2","TSSEnrichment",140,20.3255785714286,19.094,5.02490530648149,13.387,16.982,22.79325,29.4547
"C20","TSSEnrichment",1227,22.1540497147514,20.297,7.14409226108424,14.0771,17.392,25.051,36.829
"C21","TSSEnrichment",255,21.6607215686275,20.146,5.93250226821097,14.5339,17.624,24.423,33.6234
"C22","TSSEnrichment",421,22.0708147268409,20.198,7.38814716503799,13.907,16.992,25.819,36.105
"C23","TSSEnrichment",389,22.1443059125964,20.218,7.3952755674168,13.8386,16.991,25.911,37.4612
"C3","TSSEnrichment",2497,23.3404577492992,21.884,7.10094492030003,14.2478,18.354,26.878,37.1402
"C4","TSSEnrichment",1157,21.2121996542783,20.36,5.79312137216156,13.7464,17.462,23.762,31.44
"C5","TSSEnrichment",5620,23.6806886120996,22.1415,7.37818090710481,14.34355,18.526,27.4825,37.49225
"C6","TSSEnrichment",5952,22.2424359879032,21.0275,6.67573071979299,13.68815,17.5995,25.663,34.91915
"C7","TSSEnrichment",1598,21.8905225281602,20.942,5.19323160434438,15.2376,18.1465,24.76875,31.1669
"C8","TSSEnrichment",1521,21.102896120973,19.802,6.21623991673101,13.427,16.892,24.122,32.532
"C9","TSSEnrichment",1854,22.5868333333333,21.782,5.33864816156022,15.63625,18.93625,25.403,32.4054
"C1","nFrags",181,15023.2209944751,14216,9473.994241302,2055,7874,19257,31157
"C10","nFrags",33,11313.9090909091,10157,6370.52059962349,3099.2,6561,15202,23303.4
"C11","nFrags",1257,12647.2362768496,10099,10336.2950211087,1813.4,4785,17258,31754.6
"C12","nFrags",1848,8105.96699134199,6915.5,5445.19608801349,1608.05,3732.25,11485,18039.6
"C13","nFrags",1792,7033.3203125,6081.5,4687.95762985656,1515.15,3232.5,9816,15957.9
"C14","nFrags",1226,7636.81973898858,6544,5167.45033226823,1512,3798.25,10514.5,16244.5
"C15","nFrags",1345,6727.50111524164,5887,4330.31545990908,1465,3165,9430,14545.8
"C16","nFrags",113,12926.6991150442,8342,11687.9671723934,1538.4,3982,20278,35118.4
"C17","nFrags",349,25673.2664756447,24570,15661.6911793818,3034.2,13114,37015,51590
"C18","nFrags",718,16712.0515320334,15175.5,10302.2333714327,2583.2,9384.75,22577.25,34992.75
"C19","nFrags",254,16283.6653543307,13940,11831.4836694464,2254.75,6963,21952.75,38926.8
