"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C1","Gex_nUMI",1160,3595.39396551724,3430.5,1144.02874509015,2207.55,2883.75,4037.5,5366.05
"C10","Gex_nUMI",407,5413.47665847666,5180,1606.24777665849,3350.9,4505.5,6100,7940.4
"C11","Gex_nUMI",1274,3291.8273155416,3035,1325.5107539529,1911,2497,3682.5,5629.1
"C12","Gex_nUMI",1337,2943.89229618549,2788,897.209035154275,1851.8,2356,3308,4499.8
"C13","Gex_nUMI",1704,2698.29812206573,2497.5,1008.71486308918,1683,2119,2959,4494.85
"C14","Gex_nUMI",6259,4844.30819619748,4395,1968.0467577439,2711,3589.5,5494,8704.99999999998
"C15","Gex_nUMI",1132,5331.88692579505,4550.5,2504.08523679698,2651.1,3623,6564.25,9840.05
"C16","Gex_nUMI",475,5781.68631578947,4702,3454.78576041117,2629.5,3500,6762.5,13392.7
"C17","Gex_nUMI",437,2687.95652173913,2539,887.081215542123,1653.4,2137,3073,3939
"C18","Gex_nUMI",512,3201.068359375,2979,1109.13185546758,1918.55,2550,3557.5,5311.3
"C19","Gex_nUMI",4598,3360.60961287516,3119.5,1226.69694695305,2047.85,2614.25,3730.75,5787.15
"C2","Gex_nUMI",1064,13620.3543233083,13210,4504.10606872085,7189.25,10503,16397.25,21888.95
"C20","Gex_nUMI",3113,3007.32187600385,2800,1045.49023437198,1885.2,2381,3302,5036.2
"C21","Gex_nUMI",1115,2945.58475336323,2828,879.59692128412,1898.4,2393.5,3288.5,4370
"C22","Gex_nUMI",1145,3173.0672489083,3009,973.975070859336,2048.8,2542,3558,4892
"C23","Gex_nUMI",1033,8319.6495643756,7643,3226.21155944564,4441.2,6113,9710,14289.6
"C24","Gex_nUMI",1526,6855.36107470511,6261,2688.13679736409,3839,5122.5,7860.25,12083.25
"C25","Gex_nUMI",766,7759.06005221932,7102.5,3246.25978551961,4146.75,5641.25,9009.25,14165
"C3","Gex_nUMI",117,9930.86324786325,9153,4254.21740423746,4626,6962,12005,17862.8
"C4","Gex_nUMI",253,9942.75889328063,9218,3615.50583646903,5749.8,7377,11696,16408.4
"C5","Gex_nUMI",763,4610.00262123198,4264,1812.11379232061,2761.9,3526.5,5179,7489.9
"C6","Gex_nUMI",464,5574.21120689655,5220,2011.10381954932,3502.45,4452.5,6167.75,8907.8
"C7","Gex_nUMI",204,9795.94607843137,9165.5,3311.03124471547,5702.15,7638.25,11218.25,16167.1
"C8","Gex_nUMI",413,6030.41646489104,5601,2110.13665777492,3616.6,4813,6555,10016.2
"C9","Gex_nUMI",262,5577.14885496183,5206,1945.95738455606,3414.1,4473.25,6254.25,8482.95
"C1","Gex_nGenes",1160,1830.62672413793,1781,379.012666940143,1347.95,1599.75,1982,2436.05
"C10","Gex_nGenes",407,2562.97542997543,2510,468.291270130612,1908.1,2296,2776,3315.2
"C11","Gex_nGenes",1274,1849.71271585557,1772,486.82236796687,1272.95,1543.25,2024,2785.75
"C12","Gex_nGenes",1337,1643.38818249813,1596,341.796438015206,1210,1428,1786,2286.8
"C13","Gex_nGenes",1704,1538.96830985915,1464.5,378.726360411965,1124.3,1311,1635,2287.1
"C14","Gex_nGenes",6259,2544.77296692762,2419,640.927295969987,1764,2120,2796,3828.3
"C15","Gex_nGenes",1132,2726.76148409894,2507.5,799.202842006226,1750,2151.75,3253.25,4214.8
"C16","Gex_nGenes",475,2831.08210526316,2606,961.298793758546,1721.3,2159.5,3236.5,4944.2
"C17","Gex_nGenes",437,1808.21967963387,1766,390.111378211388,1283.8,1555,2029,2421
"C18","Gex_nGenes",512,1888.646484375,1817,439.68295598989,1337.55,1640.75,2031.25,2818.7
"C19","Gex_nGenes",4598,1974.65354501957,1893,474.299050743356,1412,1681,2132,2989
"C2","Gex_nGenes",1064,4751.41353383459,4775.5,968.653529130418,3272.45,4059.75,5418.25,6366.85
"C20","Gex_nGenes",3113,1822.37070350145,1742,426.258814037949,1319.6,1567,1949,2723.4
"C21","Gex_nGenes",1115,1756.88789237668,1718,357.896952896739,1310.3,1537,1900,2308.6
"C22","Gex_nGenes",1145,1834.56419213974,1784,382.183549260127,1349,1587,1987,2507.4
"C23","Gex_nGenes",1033,3627.52371732817,3507,829.163231461619,2510.4,3056,4098,5078
"C24","Gex_nGenes",1526,3277.03211009174,3159,748.493416389284,2302.5,2773.5,3623.5,4715.5
"C25","Gex_nGenes",766,3470.98041775457,3346.5,813.441447898076,2421.5,2895.5,3881.75,5028.5
"C3","Gex_nGenes",117,3964.54700854701,3890,1050.56842163993,2523.6,3168,4615,5899.8
"C4","Gex_nGenes",253,3762.85375494071,3616,861.121900162927,2668.4,3119,4318,5324.8
"C5","Gex_nGenes",763,2212.92922673657,2129,533.831493287949,1577.1,1895.5,2392,3252.4
"C6","Gex_nGenes",464,2555.63577586207,2492,542.428650733283,1885.45,2231.5,2759,3586.35
"C7","Gex_nGenes",204,4055.72058823529,3972,772.30966719127,3030.05,3526.75,4479,5588.35
"C8","Gex_nGenes",413,2726.9588377724,2621,594.693553907254,1971.2,2381,2938,3832
"C9","Gex_nGenes",262,2581.66030534351,2497,541.499036014381,1851.95,2258,2842.25,3583.25
"C1","Gex_Log10_nUMI",1160,3.53816677835183,3.53548399861642,0.120128813446489,3.34410706411897,3.46010817713066,3.60621999739115,3.72973564088073
"C10","Gex_Log10_nUMI",407,3.71719481189376,3.71441359228712,0.117666557638467,3.52527502403395,3.65383930857493,3.78540101915858,3.89989511292322
"C11","Gex_Log10_nUMI",1274,3.4913375436529,3.48230176722344,0.144063957390418,3.28148788794008,3.39759243403812,3.56626066218561,3.75051505614832
"C12","Gex_Log10_nUMI",1337,3.45196985207605,3.44544851426605,0.11882745275294,3.2678281772236,3.37235958252432,3.51969676715985,3.65328937907475
"C13","Gex_Log10_nUMI",1704,3.41017309856061,3.39767934508228,0.12715573236906,3.22634208716363,3.32633586092875,3.47129171105894,3.65281181158724
"C14","Gex_Log10_nUMI",6259,3.65678440754323,3.64305768375145,0.151989901598712,3.43328968519503,3.5551549268522,3.73996769675951,3.93981843118594
"C15","Gex_Log10_nUMI",1132,3.68794361791132,3.6581545444467,0.178515602145227,3.42358986497017,3.55918818900478,3.81725085223174,3.99304097174393
"C16","Gex_Log10_nUMI",475,3.70376151135251,3.67237497874608,0.215136742664797,3.42003020425782,3.54419209304885,3.8301709710144,4.12684036006514
"C17","Gex_Log10_nUMI",437,3.41145401896792,3.40483371661994,0.120843416194711,3.21864040708626,3.33000770087276,3.48770386316373,3.59549171020113
"C18","Gex_Log10_nUMI",512,3.48463127347287,3.47421626407626,0.129718139418295,3.28319299186977,3.40671035845267,3.55126685447709,3.72528221963824
"C19","Gex_Log10_nUMI",4598,3.50449838223191,3.49422418134189,0.132144140953988,3.31151015748658,3.41751320481553,3.57191253856605,3.76253977651497
"C2","Gex_Log10_nUMI",1064,4.1077150504168,4.12093541262063,0.160372376992399,3.85674333623515,4.02135456538089,4.21479749939108,4.3402447667423
