"cluster","rna_tentative_celltype","rna_top_score","rna_second_module","rna_second_score","gene_score_tentative_celltype","gene_score_top_score","gene_score_second_module","gene_score_second_score","tentative_celltype","mg_candidate","annotation_note"
"C1","BC",9.85588045887452,"AC",9.05620370520143,"AC",0.9825622737147,"BC",0.606594198577331,"BC",FALSE,""
"C10","BC",7.05244251701146,"Cone",2.67332603303479,"BC",0.567492761590618,"Microglia",0.493194704049844,"BC",FALSE,""
"C11","BC",4.09575054045576,"Rod",2.9535043297159,"Rod",0.899498675589014,"BC",0.522256587202008,"BC",FALSE,""
"C12","AC",2.10550685781714,"MG",1.41951880643328,"MG",0.597010688384848,"AC",0.559597696710885,"AC",TRUE,"MG marker signal present but another identity module scored higher; inspect manually."
"C13","AC",1.9987009684101,"MG",1.42212051804725,"MG",0.584537290455012,"AC",0.554940600410537,"AC",TRUE,"MG marker signal present but another identity module scored higher; inspect manually."
"C14","AC",1.45507055778285,"MG",1.11470069696724,"MG",0.559156415455672,"AC",0.530185796158612,"AC",TRUE,"MG marker signal present but another identity module scored higher; inspect manually."
"C15","AC",5.58596197824238,"BC",5.48209009447972,"AC",0.73702637987013,"BC",0.541739448051948,"AC",FALSE,""
"C16","RGC",2.8214429561852,"AC",1.81310206278247,"MG",0.617297619047619,"AC",0.551404761904762,"RGC",TRUE,"MG marker signal present but another identity module scored higher; inspect manually."
"C17","BC",6.42262939238428,"AC",5.54375641380687,"AC",0.71884634279476,"BC",0.590736321602877,"BC",FALSE,""
"C18","BC",10.2726064561909,"AC",5.95989506489164,"AC",0.815898038490007,"BC",0.583227239082161,"BC",FALSE,""
"C19","AC",1.09722554324119,"BC",1.06880711238717,"BC",0.573927580020772,"AC",0.523172685928304,"AC",FALSE,""
"C2","AC",13.694971958319,"BC",10.2092278703686,"AC",1.01609588353414,"BC",0.60913300259863,"AC",FALSE,""
"C20","BC",2.02885032309465,"AC",1.38349473739036,"BC",0.51707514871117,"AC",0.499026615168539,"BC",FALSE,""
"C21","AC",1.32839759378839,"MG",0.856289392677807,"AC",0.551805599060298,"BC",0.526626191901976,"AC",TRUE,"MG marker signal present but another identity module scored higher; inspect manually."
"C22","AC",1.33393795457236,"MG",0.798720377993068,"BC",0.524205106998863,"AC",0.518469903339192,"AC",TRUE,"MG marker signal present but another identity module scored higher; inspect manually."
"C3","AC",11.3009998894739,"BC",8.49381841450528,"AC",0.903364483173077,"BC",0.591264281674208,"AC",FALSE,""
"C4","AC",15.2321500840031,"BC",7.05359828274847,"AC",1.0193914800995,"BC",0.596198712320749,"AC",FALSE,""
"C5","AC",6.43407942438952,"RGC",4.49245894866861,"BC",0.629343191420214,"AC",0.610506906077348,"AC",FALSE,""
"C6","AC",8.02223377190971,"RGC",5.7746743604875,"RGC",0.807612389023406,"BC",0.683795280824194,"AC",FALSE,""
"C7","BC",6.79134035665404,"AC",6.53481638188487,"AC",0.783796239837398,"BC",0.642594930655189,"BC",FALSE,""
"C8","BC",7.95526072133261,"AC",3.99666634143845,"AC",0.705633849557522,"BC",0.668542946382093,"BC",FALSE,""
"C9","BC",3.21640022212253,"AC",1.3584663185364,"Rod",0.570305054553552,"BC",0.549150379189752,"BC",FALSE,""
