"cluster","sample_id","n_cells","cluster_setting","reducedDims","dimsToUse","resolution"
"C1","TH1",136,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C2","TH1",7241,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C3","TH1",850,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C4","TH1",1853,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C5","TH1",1909,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C6","TH1",1758,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C1","TH2",173,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C2","TH2",7824,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C3","TH2",556,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C4","TH2",2163,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C5","TH2",1579,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C6","TH2",1925,"Clusters_IterativeLSI_d20_res02","IterativeLSI",20,0.2
"C1","TH1",790,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C10","TH1",3898,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C11","TH1",929,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C12","TH1",727,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C2","TH1",121,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C3","TH1",59,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C4","TH1",514,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C5","TH1",1366,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C6","TH1",1364,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C7","TH1",756,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C8","TH1",112,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C9","TH1",3111,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C1","TH2",571,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C10","TH2",4353,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C11","TH2",643,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C12","TH2",1252,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C2","TH2",76,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C3","TH2",28,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C4","TH2",355,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C5","TH2",1190,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C6","TH2",1786,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C7","TH2",575,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C8","TH2",212,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C9","TH2",3179,"Clusters_LSI_RNA_d20_res02","LSI_RNA",20,0.2
"C1","TH1",138,"Clusters_LSI_Combined_d20_res02","LSI_Combined",20,0.2
"C2","TH1",7237,"Clusters_LSI_Combined_d20_res02","LSI_Combined",20,0.2
"C3","TH1",1456,"Clusters_LSI_Combined_d20_res02","LSI_Combined",20,0.2
"C4","TH1",2556,"Clusters_LSI_Combined_d20_res02","LSI_Combined",20,0.2
"C5","TH1",2360,"Clusters_LSI_Combined_d20_res02","LSI_Combined",20,0.2
"C1","TH2",195,"Clusters_LSI_Combined_d20_res02","LSI_Combined",20,0.2
"C2","TH2",7801,"Clusters_LSI_Combined_d20_res02","LSI_Combined",20,0.2
"C3","TH2",1332,"Clusters_LSI_Combined_d20_res02","LSI_Combined",20,0.2
"C4","TH2",2023,"Clusters_LSI_Combined_d20_res02","LSI_Combined",20,0.2
"C5","TH2",2869,"Clusters_LSI_Combined_d20_res02","LSI_Combined",20,0.2
"C1","TH1",134,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C2","TH1",7247,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C3","TH1",852,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C4","TH1",1239,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C5","TH1",1918,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C6","TH1",2357,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C1","TH2",201,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C2","TH2",7790,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C3","TH2",544,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C4","TH2",1233,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C5","TH2",1598,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C6","TH2",2854,"Clusters_IterativeLSI_d30_res02","IterativeLSI",30,0.2
"C1","TH1",121,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C10","TH1",3162,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C11","TH1",3733,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C12","TH1",652,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C13","TH1",632,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C2","TH1",59,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C3","TH1",515,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C4","TH1",969,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C5","TH1",459,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C6","TH1",751,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C7","TH1",1589,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C8","TH1",848,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C9","TH1",257,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C1","TH2",76,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C10","TH2",3210,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C11","TH2",4227,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C12","TH2",505,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C13","TH2",1286,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C2","TH2",28,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C3","TH2",356,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C4","TH2",970,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C5","TH2",264,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C6","TH2",572,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C7","TH2",1802,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C8","TH2",593,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C9","TH2",331,"Clusters_LSI_RNA_d30_res02","LSI_RNA",30,0.2
"C1","TH1",138,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C2","TH1",7238,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C3","TH1",856,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C4","TH1",1243,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C5","TH1",1908,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C6","TH1",2364,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C1","TH2",226,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C2","TH2",7786,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C3","TH2",551,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C4","TH2",1247,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C5","TH2",1568,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C6","TH2",2842,"Clusters_LSI_Combined_d30_res02","LSI_Combined",30,0.2
"C1","TH1",142,"Clusters_IterativeLSI_d20_res04","IterativeLSI",20,0.4
"C2","TH1",7230,"Clusters_IterativeLSI_d20_res04","IterativeLSI",20,0.4
"C3","TH1",1173,"Clusters_IterativeLSI_d20_res04","IterativeLSI",20,0.4
"C4","TH1",741,"Clusters_IterativeLSI_d20_res04","IterativeLSI",20,0.4
"C5","TH1",1712,"Clusters_IterativeLSI_d20_res04","IterativeLSI",20,0.4
"C6","TH1",848,"Clusters_IterativeLSI_d20_res04","IterativeLSI",20,0.4
"C7","TH1",1901,"Clusters_IterativeLSI_d20_res04","IterativeLSI",20,0.4
"C1","TH2",190,"Clusters_IterativeLSI_d20_res04","IterativeLSI",20,0.4
