"manual_celltype","sample_id","n_cells","mean_expression","median_expression","percent_detected"
"AC","TH1",1319,0.184797252106847,0,8.03639120545868
"Cone","TH1",726,1.36374917152685,0,32.2314049586777
"HC","TH1",80,0.429381044149007,0,30
"nPRC","TH1",1453,1.19204139378652,0,38.2656572608396
"Pre-AC","TH1",787,0.432494279857107,0,12.0711562897077
"Pre-Rod","TH1",1354,0.866170463936766,0,20.4579025110783
"pRPC","TH1",7120,0.281640928860587,0,9.05898876404494
"RGC","TH1",622,0.14278687777088,0,15.112540192926
"Rod","TH1",650,1.56995007601508,0,30.1538461538462
"Starburst AC","TH1",149,0.601570279223261,0,43.6241610738255
"AC","TH2",1113,0.0016264891321249,0,0.0898472596585804
"Cone","TH2",543,0.058416634921566,0,1.28913443830571
"HC","TH2",33,0.0302123931236593,0,3.03030303030303
"nPRC","TH2",1125,0.0351232652249513,0,1.86666666666667
"Pre-AC","TH2",575,0.0151155544016139,0,0.521739130434783
"Pre-Rod","TH2",2004,0.0271261577626719,0,0.848303393213573
"pRPC","TH2",7695,0.00390974644266583,0,0.116959064327485
"RGC","TH2",447,0.00158123866647185,0,0.223713646532438
"Rod","TH2",971,0.0916282924866882,0,2.16271884654995
"Starburst AC","TH2",96,0.027282459239256,0,3.125
