"group","TH1_n_cells","TH1_percent","TH2_n_cells","TH2_percent","delta_percent_TH2_minus_TH1","ratio_percent_TH2_over_TH1"
"pRPC",7120,49.929873772791,7695,52.6982605122586,2.76838673946758,1.05544549846181
"nPRC",1453,10.1893408134642,1125,7.7044240514998,-2.48491676196444,0.756125856671625
"Pre-Rod",1354,9.49509116409537,2004,13.7241473770716,4.22905621297626,1.445393955665
"Rod",650,4.55820476858345,971,6.64977400356116,2.09156923497771,1.45885811216588
"Cone",726,5.09116409537167,543,3.7186686755239,-1.37249541984777,0.730416188883896
"RGC",622,4.36185133239832,447,3.06122448979592,-1.3006268426024,0.701817704573791
"HC",80,0.561009817671809,33,0.225996438843994,-0.335013378827815,0.402838652239419
"Pre-AC",787,5.51893408134642,575,3.93781673743323,-1.5811173439132,0.713510377074941
"AC",1319,9.24964936886395,1113,7.6222435282838,-1.62740584058016,0.824057564164723
"Starburst AC",149,1.04488078541374,96,0.657444185727982,-0.387436599685762,0.629204972381277
