"cluster","manual_celltype","manual_celltype_full"
"C12","pRPC","pRPC (primary progenitors)"
"C13","pRPC","pRPC (primary progenitors)"
"C14","pRPC","pRPC (primary progenitors)"
"C15","pRPC","pRPC (primary progenitors)"
"C16","pRPC","pRPC (primary progenitors)"
"C18","nPRC","nPRC (neurogenic progenitors)"
"C19","nPRC","nPRC (neurogenic progenitors)"
"C20","nPRC","nPRC (neurogenic progenitors)"
"C2","Cone","Cone"
"C3","Rod","Rod"
"C1","Pre-Rod","Pre-Rod (rod precursors)"
"C21","Pre-Rod","Pre-Rod (rod precursors)"
"C10","RGC","RGC"
"C11","RGC","RGC"
"C8","HC","HC"
"C17","Pre-AC","Pre-AC (amacrine precursors)"
"C4","AC","AC"
"C5","AC","AC"
"C6","AC","AC"
"C7","AC","AC"
"C9","Starburst AC","Starburst AC"
