"matrix","module","gene","present","total_counts_or_score","fraction_cells_detected"
"GeneExpressionMatrix","Rod","Rho",TRUE,2024.28688371682,0.0149367329464371
"GeneExpressionMatrix","Rod","Gnat1",TRUE,172.138730399783,0.00196619414581549
"GeneExpressionMatrix","Rod","Pde6a",TRUE,319.995610205908,0.00371039863000666
"GeneExpressionMatrix","Rod","Pde6b",TRUE,2934.01361465016,0.0232137760441442
"GeneExpressionMatrix","Rod","Cnga1",TRUE,475.732420806148,0.00371039863000666
"GeneExpressionMatrix","Rod","Nr2e3",TRUE,21774.162963472,0.102654362096851
"GeneExpressionMatrix","Rod","Nrl",TRUE,8480.95622853455,0.0676117083690102
"GeneExpressionMatrix","Rod","Prph2",TRUE,13810.9370355026,0.0864491167982748
"GeneExpressionMatrix","Rod","Rom1",TRUE,20520.4063380689,0.125772999714585
"GeneExpressionMatrix","Cone","Pde6h",TRUE,355.534370091039,0.00374211143881014
"GeneExpressionMatrix","Cone","Arr3",TRUE,480.334888097574,0.0053594646877874
"GeneExpressionMatrix","Cone","Opn1mw",TRUE,20.2771749621752,0.000285415279231282
"GeneExpressionMatrix","Cone","Gnat2",TRUE,3206.30712986276,0.0310785526274062
"GeneExpressionMatrix","Cone","Pde6c",TRUE,7305.37861587159,0.0453493165889703
"GeneExpressionMatrix","Cone","Opn1sw",TRUE,19592.2017196392,0.0728760346303872
"GeneExpressionMatrix","BC","Vsx1",TRUE,5.44469924856881,9.51384264104272e-05
"GeneExpressionMatrix","BC","Vsx2",TRUE,92479.7766592297,0.512986395205023
"GeneExpressionMatrix","BC","Car10",TRUE,15866.8504917355,0.0507404940855612
"GeneExpressionMatrix","BC","Prkca",TRUE,73139.3269855272,0.48393746234104
"GeneExpressionMatrix","BC","Sebox",TRUE,19.5929598691717,0.00022198966162433
"GeneExpressionMatrix","BC","Scgn",TRUE,19.1178338944057,0.000348840896838233
"GeneExpressionMatrix","BC","Cabp5",TRUE,691.231693779643,0.00691339231915771
"GeneExpressionMatrix","BC","Grm6",TRUE,51.2490854812926,0.000539117749659087
"GeneExpressionMatrix","BC","Otx2os1",TRUE,62927.6708142139,0.128627152506898
"GeneExpressionMatrix","BC","Gng13",TRUE,440.931501061915,0.00542289030539435
"GeneExpressionMatrix","BC","Nrxn3",TRUE,964214.955749183,0.45428598610979
"GeneExpressionMatrix","BC","Gabrb3",TRUE,142685.765822353,0.332857641201281
"GeneExpressionMatrix","BC","Trnp1",TRUE,660.305037214195,0.0136047949766911
"GeneExpressionMatrix","BC","Kcnma1",TRUE,32493.1440692243,0.197221957948816
"GeneExpressionMatrix","BC","Frmd3",TRUE,16233.0791012712,0.158373767164558
"GeneExpressionMatrix","BC","Gm4792",TRUE,8960.1727693114,0.0647892683855009
"GeneExpressionMatrix","BC","Nyap2",TRUE,67794.1633000792,0.217169314686202
"GeneExpressionMatrix","AC","Tfap2a",TRUE,15148.4837779359,0.119493863571497
"GeneExpressionMatrix","AC","Tfap2b",TRUE,50235.9093064618,0.179494497827673
"GeneExpressionMatrix","AC","Pax6",TRUE,160194.601976309,0.694954492119367
"GeneExpressionMatrix","AC","Frmd5",TRUE,220127.59291594,0.63913994862525
"GeneExpressionMatrix","AC","Nrg3",TRUE,212975.968604297,0.413947293311769
"GeneExpressionMatrix","AC","Elavl3",TRUE,29677.3551176477,0.218501252655948
"GeneExpressionMatrix","AC","Gad1",TRUE,6982.67496484278,0.0690387847651666
"GeneExpressionMatrix","AC","Gad2",TRUE,51486.8423986065,0.309073034598674
"GeneExpressionMatrix","MG","Rlbp1",TRUE,2958.0832456022,0.0357403355215171
"GeneExpressionMatrix","MG","Glul",TRUE,30670.6768421457,0.311578346494149
"GeneExpressionMatrix","MG","Dkk3",TRUE,146062.36778544,0.663114832080677
"GeneExpressionMatrix","MG","Adamtsl1",TRUE,39032.2025172284,0.185234516221102
"GeneExpressionMatrix","MG","Gpr37",TRUE,17673.6030344999,0.193543272127612
"GeneExpressionMatrix","MG","Abca8a",TRUE,29.0582307071177,0.000412266514445184
"GeneExpressionMatrix","MG","Rgs6",TRUE,8796.00485657757,0.055529128214886
"GeneExpressionMatrix","MG","Spc25",TRUE,38078.8497096646,0.304411251704563
"GeneExpressionMatrix","MG","Clu",TRUE,1522.31657381259,0.0217549868391843
"GeneExpressionMatrix","MG","Apoe",TRUE,59095.2065850628,0.418323660926648
"GeneExpressionMatrix","MG","Aqp4",TRUE,363.261361110505,0.00532775187898392
"GeneExpressionMatrix","HC","Calb1",TRUE,430.009845429267,0.00697681793676466
"GeneExpressionMatrix","HC","Onecut1",TRUE,16483.2508273947,0.11870104335141
"GeneExpressionMatrix","HC","Slc4a3",TRUE,3836.93284229511,0.0611740081819047
"GeneExpressionMatrix","HC","Onecut2",TRUE,27000.1744587567,0.212190403704056
"GeneExpressionMatrix","HC","Gm45459",TRUE,98.0298567664621,0.00126851235213903
"GeneExpressionMatrix","HC","C1ql1",TRUE,4087.99449439762,0.0506770684679542
"GeneExpressionMatrix","RGC","Nefl",TRUE,11836.0586762325,0.115022357530206
"GeneExpressionMatrix","RGC","Stmn2",TRUE,50900.0874355256,0.319030856562966
"GeneExpressionMatrix","RGC","Nrn1",TRUE,2168.54372448439,0.0351695049630546
"GeneExpressionMatrix","RGC","Pou4f1",TRUE,5267.59536299736,0.0514064630704342
"GeneExpressionMatrix","RGC","Pou4f2",TRUE,982.688046140417,0.0185519931500333
"GeneExpressionMatrix","RGC","Sncg",TRUE,17401.6986571686,0.170932039450734
"GeneExpressionMatrix","RGC","Rbpms",TRUE,21602.7236173549,0.12764405543399
"GeneExpressionMatrix","RPE","Ttr",TRUE,149.63133977551,0.00168077886658421
"GeneExpressionMatrix","RPE","Rdh5",TRUE,2531.94215781276,0.0318396600386896
"GeneExpressionMatrix","RPE","Rpe65",TRUE,30.6294111953174,0.000539117749659087
"GeneExpressionMatrix","RPE","Rgr",TRUE,541.124442501272,0.00612057209907081
"GeneExpressionMatrix","RPE","Slc16a8",TRUE,127.997785488782,0.00149050201376336
"GeneExpressionMatrix","Astrocyte","S100b",TRUE,992.395819640644,0.0145878920495988
"GeneExpressionMatrix","Astrocyte","Gfap",TRUE,191.19913055989,0.00218818380743982
"GeneExpressionMatrix","Astrocyte","Pax2",TRUE,586.506370111716,0.00364697301239971
"GeneExpressionMatrix","Astrocyte","Pdgfra",TRUE,1146.26929831635,0.0133828053150668
"GeneExpressionMatrix","Astrocyte","Mlc1",TRUE,37.8438664703041,0.000539117749659087
"GeneExpressionMatrix","Astrocyte","Prdx6",TRUE,19129.2536093695,0.218913519170393
"GeneExpressionMatrix","Microglia","Ctss",TRUE,800.111788636983,0.00786477658326198
"GeneExpressionMatrix","Microglia","C1qa",TRUE,1230.12120390321,0.0110043446548061
"GeneExpressionMatrix","Microglia","Hexb",TRUE,22104.9072770395,0.25309992706054
"GeneExpressionMatrix","Microglia","Trem2",TRUE,362.194539253555,0.00358354739479276
"GeneExpressionMatrix","Endothelial","Cldn5",TRUE,7628.67635279728,0.0468398186027336
"GeneExpressionMatrix","Endothelial","Flt1",TRUE,2684.81779188708,0.0275901436590239
"GeneExpressionMatrix","Endothelial","Pecam1",TRUE,950.930724786267,0.011797164874893
"GeneExpressionMatrix","Endothelial","Ly6c1",TRUE,0,0
"GeneExpressionMatrix","Endothelial","Ptprb",TRUE,751.717035508669,0.00935527859702534
"GeneExpressionMatrix","Pericyte","Kcnj8",TRUE,3.32556010062306,9.51384264104272e-05
"GeneExpressionMatrix","Pericyte","Acta2",TRUE,24.1941767093452,0.000380553705641709
"GeneExpressionMatrix","Pericyte","Pdgfra",TRUE,1146.26929831635,0.0133828053150668
"GeneExpressionMatrix","Activated_MG","Gfap",TRUE,191.19913055989,0.00218818380743982
"GeneExpressionMatrix","Activated_MG","Vim",TRUE,19088.7975733307,0.215583674246028
"GeneExpressionMatrix","Activated_MG","Lcn2",TRUE,17.4075190384816,0.000190276852820854
"GeneExpressionMatrix","Activated_MG","Stat3",TRUE,8275.27354136199,0.0923476992357213
"GeneExpressionMatrix","Activated_MG","Socs3",TRUE,1922.9875208893,0.022864935147306
"GeneExpressionMatrix","Activated_MG","Cxcl10",TRUE,13.2504880247315,0.000190276852820854
"GeneExpressionMatrix","Activated_MG","Ccl2",TRUE,2.58164450755131,3.17128088034757e-05
"GeneExpressionMatrix","Activated_MG","Serpina3n",TRUE,12.7434341222617,0.000380553705641709
"GeneExpressionMatrix","Proliferation","Cdk1",TRUE,24680.5601348146,0.249104113151302
"GeneExpressionMatrix","Proliferation","Mki67",TRUE,96262.0269989619,0.450448736244569
"GeneExpressionMatrix","Proliferation","Top2a",TRUE,134539.795126522,0.490755716233787
"GeneExpressionMatrix","Proliferation","Pcna",TRUE,38407.4823258104,0.346177020898741
"GeneExpressionMatrix","Proliferation","Mcm5",TRUE,7412.67748472638,0.090127802619478
"GeneExpressionMatrix","Neurogenic_TF","Ascl1",TRUE,24118.5154806854,0.239304855231028
"GeneExpressionMatrix","Neurogenic_TF","Neurog2",TRUE,11133.1001765594,0.109789744077633
"GeneExpressionMatrix","Neurogenic_TF","Insm1",TRUE,8775.0553262262,0.0890495671201598
"GeneExpressionMatrix","Neurogenic_TF","Atoh7",TRUE,17986.3902759198,0.130339644182285
"GeneExpressionMatrix","Neurogenic_TF","Neurod1",TRUE,65900.9270893524,0.328386135159991
"GeneExpressionMatrix","Neurogenic_TF","Otx2",TRUE,94817.7267390789,0.331272000761107
"GeneExpressionMatrix","Neurogenic_TF","Crx",TRUE,30227.9006542818,0.181333840738274
"GeneExpressionMatrix","Neurogenic_TF","Olig2",TRUE,4030.59265373964,0.0432879840167444
"GeneExpressionMatrix","Neurogenic_TF","Foxn4",TRUE,13356.2836409702,0.139409507500079
"GeneExpressionMatrix","Neurogenic_Progenitor","Ascl1",TRUE,24118.5154806854,0.239304855231028
"GeneExpressionMatrix","Neurogenic_Progenitor","Neurog2",TRUE,11133.1001765594,0.109789744077633
"GeneExpressionMatrix","Neurogenic_Progenitor","Neurod1",TRUE,65900.9270893524,0.328386135159991
"GeneExpressionMatrix","Neurogenic_Progenitor","Atoh7",TRUE,17986.3902759198,0.130339644182285
"GeneExpressionMatrix","Neurogenic_Progenitor","Sox2",TRUE,25299.4518232536,0.247201344623093
"GeneExpressionMatrix","Neurogenic_Progenitor","Hes1",TRUE,65892.2655498834,0.405701963022865
"GeneExpressionMatrix","Neurogenic_Progenitor","Hes5",TRUE,64019.3339679948,0.386515713696762
"GeneExpressionMatrix","Neurogenic_Progenitor","Insm1",TRUE,8775.0553262262,0.0890495671201598
"GeneExpressionMatrix","Neurogenic_Progenitor","Prdm1",TRUE,97827.3146763576,0.327942155836742
"GeneExpressionMatrix","Neurogenic_Progenitor","Otx2",TRUE,94817.7267390789,0.331272000761107
"GeneExpressionMatrix","Neurogenic_Progenitor","Crx",TRUE,30227.9006542818,0.181333840738274
"GeneExpressionMatrix","Neurogenic_Progenitor","Olig2",TRUE,4030.59265373964,0.0432879840167444
