"matrix","module","gene","present","total_counts_or_score","fraction_cells_detected"
"GeneScoreMatrix","Rod","Rho",TRUE,5051.821,0.107348725863861
"GeneScoreMatrix","Rod","Gnat1",TRUE,16857.6849999999,0.267678835795508
"GeneScoreMatrix","Rod","Pde6a",TRUE,4135.28099999999,0.165873940844804
"GeneScoreMatrix","Rod","Pde6b",TRUE,4083.887,0.147919488455602
"GeneScoreMatrix","Rod","Cnga1",TRUE,3225.285,0.129020064888021
"GeneScoreMatrix","Rod","Nr2e3",TRUE,10775.813,0.208334645793303
"GeneScoreMatrix","Rod","Nrl",TRUE,12516.33,0.194412070431852
"GeneScoreMatrix","Rod","Prph2",TRUE,8058.126,0.213279994960154
"GeneScoreMatrix","Rod","Rom1",TRUE,16630.772,0.207389674614924
"GeneScoreMatrix","Cone","Pde6h",TRUE,2639.385,0.1037893344253
"GeneScoreMatrix","Cone","Arr3",TRUE,1303.653,0.0365703846032696
"GeneScoreMatrix","Cone","Opn1mw",TRUE,914.377999999999,0.0327275018111948
"GeneScoreMatrix","Cone","Gnat2",TRUE,6058.63100000002,0.141651179639021
"GeneScoreMatrix","Cone","Pde6c",TRUE,2763.615,0.10832519608152
"GeneScoreMatrix","Cone","Opn1sw",TRUE,3796.20199999999,0.0934891485809683
"GeneScoreMatrix","BC","Vsx1",TRUE,4523.128,0.127665606199011
"GeneScoreMatrix","BC","Vsx2",TRUE,32425.335,0.67058304721706
"GeneScoreMatrix","BC","Car10",TRUE,13409.692,0.47651746621728
"GeneScoreMatrix","BC","Prkca",TRUE,37071.6170000002,0.724099914952594
"GeneScoreMatrix","BC","Sebox",TRUE,14111.401,0.19721548492771
"GeneScoreMatrix","BC","Scgn",TRUE,2659.142,0.111821589441522
"GeneScoreMatrix","BC","Cabp5",TRUE,1515.248,0.0668409613506788
"GeneScoreMatrix","BC","Grm6",TRUE,3126.652,0.088134311903487
"GeneScoreMatrix","BC","Otx2os1",TRUE,16844.397,0.486660156865216
"GeneScoreMatrix","BC","Gng13",TRUE,8026.19499999999,0.116199955901345
"GeneScoreMatrix","BC","Nrxn3",TRUE,60669.1459999996,0.827259268592308
"GeneScoreMatrix","BC","Gabrb3",TRUE,12956.623,0.411030963555612
"GeneScoreMatrix","BC","Trnp1",TRUE,11727.238,0.251456830566668
"GeneScoreMatrix","BC","Kcnma1",TRUE,34580.3940000002,0.703405046146093
"GeneScoreMatrix","BC","Frmd3",TRUE,6561.75799999999,0.30188679245283
"GeneScoreMatrix","BC","Gm4792",TRUE,10020.501,0.296815447128863
"GeneScoreMatrix","BC","Nyap2",TRUE,11191.893,0.413046902069487
"GeneScoreMatrix","AC","Tfap2a",TRUE,17635.709,0.413645383815794
"GeneScoreMatrix","AC","Tfap2b",TRUE,8454.73600000001,0.260024569250638
"GeneScoreMatrix","AC","Pax6",TRUE,39997.3419999999,0.631965225060636
"GeneScoreMatrix","AC","Frmd5",TRUE,25518.2569999999,0.643021387847671
"GeneScoreMatrix","AC","Nrg3",TRUE,21981.7720000001,0.552146659526884
"GeneScoreMatrix","AC","Elavl3",TRUE,12844.361,0.356285633288185
"GeneScoreMatrix","AC","Gad1",TRUE,12419.557,0.419945191671654
"GeneScoreMatrix","AC","Gad2",TRUE,9539.01499999999,0.393989983305509
"GeneScoreMatrix","MG","Rlbp1",TRUE,23039.139,0.55413109900148
"GeneScoreMatrix","MG","Glul",TRUE,26115.1429999999,0.453712161779066
"GeneScoreMatrix","MG","Dkk3",TRUE,33141.0170000001,0.670646045295618
"GeneScoreMatrix","MG","Adamtsl1",TRUE,28181.4519999999,0.631933726021356
"GeneScoreMatrix","MG","Gpr37",TRUE,7280.04299999998,0.290736132547957
"GeneScoreMatrix","MG","Abca8a",TRUE,2183.377,0.10019844394746
"GeneScoreMatrix","MG","Rgs6",TRUE,30236.8830000002,0.687120042838693
"GeneScoreMatrix","MG","Spc25",TRUE,8372.77099999998,0.20622421016159
"GeneScoreMatrix","MG","Clu",TRUE,7578.99599999999,0.193341103096356
"GeneScoreMatrix","MG","Apoe",TRUE,11762.194,0.175701641099946
"GeneScoreMatrix","MG","Aqp4",TRUE,2704.276,0.101458405518632
"GeneScoreMatrix","HC","Calb1",TRUE,2484.764,0.127413613884777
"GeneScoreMatrix","HC","Onecut1",TRUE,10998.49,0.357041610230888
"GeneScoreMatrix","HC","Slc4a3",TRUE,15124.845,0.425646517781208
"GeneScoreMatrix","HC","Onecut2",TRUE,14861.887,0.482313289444672
"GeneScoreMatrix","HC","Gm45459",TRUE,2993.038,0.130689513969824
"GeneScoreMatrix","HC","C1ql1",TRUE,16217.348,0.301225312627965
"GeneScoreMatrix","RGC","Nefl",TRUE,4972.057,0.122846253189278
"GeneScoreMatrix","RGC","Stmn2",TRUE,7156.00699999996,0.362301949790531
"GeneScoreMatrix","RGC","Nrn1",TRUE,9971.50800000003,0.215579424827543
"GeneScoreMatrix","RGC","Pou4f1",TRUE,10649.857,0.206003716886635
"GeneScoreMatrix","RGC","Pou4f2",TRUE,9895.13899999997,0.246952467949728
"GeneScoreMatrix","RGC","Sncg",TRUE,6468.32400000003,0.153022332818849
"GeneScoreMatrix","RGC","Rbpms",TRUE,17271.111,0.504236620783066
"GeneScoreMatrix","RPE","Ttr",TRUE,4658.367,0.113585535641163
"GeneScoreMatrix","RPE","Rdh5",TRUE,15405.728,0.304280719438057
"GeneScoreMatrix","RPE","Rpe65",TRUE,1530.644,0.113459539484046
"GeneScoreMatrix","RPE","Rgr",TRUE,3541.987,0.131823479383879
"GeneScoreMatrix","RPE","Slc16a8",TRUE,7086.76900000001,0.123129744542791
"GeneScoreMatrix","Astrocyte","S100b",TRUE,4120.29900000001,0.097836016001512
"GeneScoreMatrix","Astrocyte","Gfap",TRUE,7042.62100000002,0.181276971052383
"GeneScoreMatrix","Astrocyte","Pax2",TRUE,11381.5410000001,0.382429835890005
"GeneScoreMatrix","Astrocyte","Pdgfra",TRUE,10088.678,0.316691340914102
"GeneScoreMatrix","Astrocyte","Mlc1",TRUE,2038.429,0.0724792893816739
"GeneScoreMatrix","Astrocyte","Prdx6",TRUE,11046.6,0.316565344756985
"GeneScoreMatrix","Microglia","Ctss",TRUE,2962.308,0.125838661920811
"GeneScoreMatrix","Microglia","C1qa",TRUE,14819.6869999999,0.291240117176426
"GeneScoreMatrix","Microglia","Hexb",TRUE,6798.71800000002,0.259048099032979
"GeneScoreMatrix","Microglia","Trem2",TRUE,2428.984,0.0728887768923048
"GeneScoreMatrix","Endothelial","Cldn5",TRUE,23294.022,0.48149431442341
"GeneScoreMatrix","Endothelial","Flt1",TRUE,13644.0580000001,0.437049170000315
"GeneScoreMatrix","Endothelial","Pecam1",TRUE,12319.831,0.439411597946263
"GeneScoreMatrix","Endothelial","Ly6c1",TRUE,1870.572,0.0680694238825716
"GeneScoreMatrix","Endothelial","Ptprb",TRUE,9047.34100000001,0.343182032947995
"GeneScoreMatrix","Pericyte","Kcnj8",TRUE,6214.26999999999,0.203924780294201
"GeneScoreMatrix","Pericyte","Acta2",TRUE,2145.898,0.0767001606451003
"GeneScoreMatrix","Pericyte","Pdgfra",TRUE,10088.678,0.316691340914102
"GeneScoreMatrix","Activated_MG","Gfap",TRUE,7042.62100000002,0.181276971052383
