"module","gene"
"Rod","Rho"
"Rod","Gnat1"
"Rod","Pde6a"
"Rod","Pde6b"
"Rod","Cnga1"
"Rod","Nr2e3"
"Rod","Nrl"
"Rod","Prph2"
"Rod","Rom1"
"Cone","Pde6h"
"Cone","Arr3"
"Cone","Opn1mw"
"Cone","Gnat2"
"Cone","Pde6c"
"Cone","Opn1sw"
"BC","Vsx1"
"BC","Vsx2"
"BC","Car10"
"BC","Otx2os1"
"BC","Gng13"
"BC","Nrxn3"
"BC","Gabrb3"
"BC","Trnp1"
"BC","Kcnma1"
"BC","Frmd3"
"BC","Gm4792"
"BC","Nyap2"
"AC","Tfap2a"
"AC","Tfap2b"
"AC","Pax6"
"AC","Frmd5"
"AC","Nrg3"
"AC","Elavl3"
"AC","Gad1"
"AC","Gad2"
"MG","Rlbp1"
"MG","Glul"
"MG","Dkk3"
"MG","Adamtsl1"
"MG","Gpr37"
"MG","Abca8a"
"MG","Rgs6"
"MG","Spc25"
"MG","Clu"
"MG","Apoe"
"MG","Aqp4"
"HC","Calb1"
"HC","Onecut1"
"HC","Slc4a3"
"HC","Onecut2"
"HC","Gm45459"
"HC","C1ql1"
"RGC","Nefl"
"RGC","Stmn2"
"RGC","Nrn1"
"RGC","Pou4f1"
"RGC","Pou4f2"
"RGC","Sncg"
"RGC","Rbpms"
"RPE","Ttr"
"RPE","Rdh5"
"RPE","Rgr"
"RPE","Slc16a8"
"Astrocyte","S100b"
"Astrocyte","Gfap"
"Astrocyte","Mlc1"
"Astrocyte","Prdx6"
"Astrocyte","Pdgfra"
"Microglia","Ctss"
"Microglia","C1qa"
"Microglia","Hexb"
"Microglia","Trem2"
"Endothelial","Cldn5"
"Endothelial","Flt1"
"Endothelial","Ly6c1"
"Endothelial","Ptprb"
"Activated_MG","Gfap"
"Activated_MG","Vim"
"Activated_MG","Lcn2"
"Activated_MG","Stat3"
"Activated_MG","Socs3"
"Activated_MG","Cxcl10"
"Activated_MG","Ccl2"
"Activated_MG","Serpina3n"
"Proliferation","Cdk1"
"Proliferation","Mki67"
"Proliferation","Top2a"
"Proliferation","Pcna"
"Proliferation","Mcm5"
"Neurogenic_TF","Ascl1"
"Neurogenic_TF","Neurog2"
"Neurogenic_TF","Insm1"
"Neurogenic_TF","Atoh7"
"Neurogenic_TF","Neurod1"
"Neurogenic_TF","Otx2"
"Neurogenic_TF","Crx"
"Neurogenic_TF","Olig2"
"Neurogenic_TF","Foxn4"
"Neurogenic_Progenitor","Ascl1"
"Neurogenic_Progenitor","Neurog2"
"Neurogenic_Progenitor","Neurod1"
"Neurogenic_Progenitor","Atoh7"
"Neurogenic_Progenitor","Sox2"
"Neurogenic_Progenitor","Hes1"
"Neurogenic_Progenitor","Hes5"
"Neurogenic_Progenitor","Insm1"
"Neurogenic_Progenitor","Prdm1"
"Neurogenic_Progenitor","Otx2"
"Neurogenic_Progenitor","Crx"
"Neurogenic_Progenitor","Olig2"
"Neurogenic_Progenitor","Foxn4"
"Stress_Response","Fos"
"Stress_Response","Jun"
"Stress_Response","Atf3"
"Stress_Response","Ddit3"
"Stress_Response","Hspa1a"
"Stress_Response","Hspa1b"
"Stress_Response","Gadd45b"
