"gene","matrix_gene_name","expression_mean","expression_sd","min_z","max_z"
"Rho","Rho",0.0637630920627522,0.678243504694292,-0.0940120939182343,43.4466810605274
"Gnat1","Gnat1",0.00542220463035197,0.135962334374503,-0.0398801966389951,43.3779365724483
"Nrl","Nrl",0.267623679589421,1.25827315242926,-0.212691242019063,18.8916355824484
"Arr3","Arr3",0.0151300875074047,0.269434684704938,-0.0561549361173523,77.6710627006829
"Opn1mw","Opn1mw",0.000638711530606823,0.0438049001954739,-0.0145808237835642,109.317297785226
"Opn1sw","Opn1sw",0.61842131405266,3.55681648646786,-0.173869334109725,29.4943801619818
"Vsx1","Vsx1",0.00019826266235325,0.0217096290710399,-0.00913247581082476,157.415712757561
"Vsx2","Vsx2",2.93300080075032,4.08161311901807,-0.718588635234473,8.72471137688101
"Car10","Car10",0.500069450560875,3.02318435074135,-0.165411497462352,18.9096449123901
"Tfap2a","Tfap2a",0.477531045712316,1.7410300370434,-0.274280762279813,21.4365704067844
"Gad1","Gad1",0.219947552992172,1.01537903533104,-0.216616204726409,20.3483012544566
"Gad2","Gad2",1.62632839859352,3.76621937940618,-0.431819879502066,15.4957360023939
"Rlbp1","Rlbp1",0.0940565196888379,0.564485352917439,-0.16662349023358,18.4288119634333
"Glul","Glul",0.982328901385442,1.87237281731874,-0.524643859545104,14.4608126329683
"Dkk3","Dkk3",4.63096603870528,5.23649420530832,-0.884363823798525,8.74424762699142
"Clu","Clu",0.0481786520816584,0.389128662243951,-0.123811625193146,21.9444074233395
"Apoe","Apoe",1.97863525811552,5.58227739022887,-0.354449469239721,68.084273357622
"Aqp4","Aqp4",0.0114423838822726,0.178903198344453,-0.0639585205192468,36.457537685501
"Calb1","Calb1",0.0135755978296743,0.195482341153193,-0.0694466709861815,39.1903505995958
"Onecut1","Onecut1",0.521452797337578,1.90758209501514,-0.273357984801928,17.2592117226351
"Rbpms","Rbpms",0.682357514925899,2.69059671992584,-0.25360824603425,16.6459348305455
"Pou4f1","Pou4f1",0.166705774744115,0.897343952305068,-0.185776896713782,21.2493292716788
"Pou4f2","Pou4f2",0.0312996540833558,0.29316365556542,-0.106765124152203,37.0777991414038
"Ttr","Ttr",0.00480894332223978,0.14009510683624,-0.0343262761336914,77.2502996161476
"Rdh5","Rdh5",0.0799687266446194,0.525703261400128,-0.152117615613864,28.815605269309
"S100b","S100b",0.0313617161643749,0.323353532319382,-0.0969889394416709,73.1654406173128
"Gfap","Gfap",0.00613820294195014,0.167693872837004,-0.0366036208604734,105.913892584071
"Ctss","Ctss",0.0494791128658289,0.991519283430541,-0.0499023203004554,67.3796371263487
"C1qa","C1qa",0.0715270255808229,1.2636376466311,-0.0566040634920273,51.6349968663515
"Cldn5","Cldn5",0.241050634976686,1.60368341407312,-0.150310611721333,25.6523571602987
"Flt1","Flt1",0.0847555061344694,0.64152957912712,-0.132114728442903,41.0835008081106
"Cdk1","Cdk1",0.796513387129079,1.69882997687063,-0.468859978911082,13.9703982036547
"Mki67","Mki67",3.1260425833068,4.92371520360957,-0.634895085120907,12.7562258890836
"Top2a","Top2a",4.35627035781862,6.44514607333856,-0.67589939905925,9.20177826593762
"Pcna","Pcna",1.21810312854195,2.17866485643988,-0.559105327715447,10.9158124073841
"Ascl1","Ascl1",0.77370791856147,1.72259863992181,-0.449151590295339,12.8147847443229
"Neurog2","Neurog2",0.354137826835207,1.31552048697457,-0.269199780878861,22.4899438865338
"Insm1","Insm1",0.277298894350459,1.10197888038867,-0.251637213094915,15.9819657850134
"Atoh7","Atoh7",0.570282640333852,2.24818030729111,-0.253664102689788,23.8549635859531
"Neurod1","Neurod1",2.08110302349852,4.36147976730546,-0.477155262555359,11.7294098528322
"Otx2","Otx2",2.9910853719405,6.07483870108065,-0.492372805126236,9.79061048642003
"Crx","Crx",0.953320697728467,2.62634216471696,-0.362984195485133,11.3789128928558
"Olig2","Olig2",0.127431031294979,0.724714103049949,-0.175836279104667,33.9508202130339
"Foxn4","Foxn4",0.423739270837768,1.3007384031608,-0.325768248102831,17.6307170579355
"Fos","Fos",0.00512996074661476,0.124845279668829,-0.0410905463163906,46.0724061309163
"Jun","Jun",0.48746179343283,1.33866376592967,-0.364140574981725,28.3487449170321
"Stat3","Stat3",0.264688839760683,1.04802408197057,-0.252559883226152,19.1906708305603
"Lcn2","Lcn2",0.000548320125948358,0.0498971083617551,-0.010989016076303,145.531796194208
