"reducedDims","dimsToUse","nNeighbors","minDist"
"IterativeLSI",20,15,0.2
"LSI_RNA",20,15,0.2
"LSI_Combined",20,15,0.2
"IterativeLSI",30,15,0.2
"LSI_RNA",30,15,0.2
"LSI_Combined",30,15,0.2
"IterativeLSI",20,30,0.2
"LSI_RNA",20,30,0.2
"LSI_Combined",20,30,0.2
"IterativeLSI",30,30,0.2
"LSI_RNA",30,30,0.2
"LSI_Combined",30,30,0.2
"IterativeLSI",20,50,0.2
"LSI_RNA",20,50,0.2
"LSI_Combined",20,50,0.2
"IterativeLSI",30,50,0.2
"LSI_RNA",30,50,0.2
"LSI_Combined",30,50,0.2
"IterativeLSI",20,15,0.5
"LSI_RNA",20,15,0.5
"LSI_Combined",20,15,0.5
"IterativeLSI",30,15,0.5
"LSI_RNA",30,15,0.5
"LSI_Combined",30,15,0.5
"IterativeLSI",20,30,0.5
"LSI_RNA",20,30,0.5
"LSI_Combined",20,30,0.5
"IterativeLSI",30,30,0.5
"LSI_RNA",30,30,0.5
"LSI_Combined",30,30,0.5
"IterativeLSI",20,50,0.5
"LSI_RNA",20,50,0.5
"LSI_Combined",20,50,0.5
"IterativeLSI",30,50,0.5
"LSI_RNA",30,50,0.5
"LSI_Combined",30,50,0.5
"IterativeLSI",20,15,0.8
"LSI_RNA",20,15,0.8
"LSI_Combined",20,15,0.8
"IterativeLSI",30,15,0.8
"LSI_RNA",30,15,0.8
"LSI_Combined",30,15,0.8
"IterativeLSI",20,30,0.8
"LSI_RNA",20,30,0.8
"LSI_Combined",20,30,0.8
"IterativeLSI",30,30,0.8
"LSI_RNA",30,30,0.8
"LSI_Combined",30,30,0.8
"IterativeLSI",20,50,0.8
"LSI_RNA",20,50,0.8
"LSI_Combined",20,50,0.8
"IterativeLSI",30,50,0.8
"LSI_RNA",30,50,0.8
"LSI_Combined",30,50,0.8
