"gene","png","min_z","max_z"
"Rho","results/readme_figures/markers/Rho.png",-0.0943333821435514,43.3006590693668
"Gnat1","results/readme_figures/markers/Gnat1.png",-0.0400155037995679,43.2314474469007
"Nrl","results/readme_figures/markers/Nrl.png",-0.213119809747069,18.8349493052944
"Arr3","results/readme_figures/markers/Arr3.png",-0.0563457597221871,77.4092779646009
"Opn1mw","results/readme_figures/markers/Opn1mw.png",-0.0146302257940924,108.948200404218
"Opn1sw","results/readme_figures/markers/Opn1sw.png",-0.174131673517211,29.4000817093803
"Vsx1","results/readme_figures/markers/Vsx1.png",-0.00812490573996946,160.810152120218
"Vsx2","results/readme_figures/markers/Vsx2.png",-0.717786871551418,8.71564362142342
"Car10","results/readme_figures/markers/Car10.png",-0.165899966023039,18.8471294501445
"Prkca","results/readme_figures/markers/Prkca.png",-0.667127840131328,11.7061667489673
"Sebox","results/readme_figures/markers/Sebox.png",-0.0133619855669485,109.481756207771
"Scgn","results/readme_figures/markers/Scgn.png",-0.0148881590818175,105.468636145403
"Cabp5","results/readme_figures/markers/Cabp5.png",-0.0679152463353338,42.7840388420095
"Grm6","results/readme_figures/markers/Grm6.png",-0.0205433860235553,66.088870952888
"Tfap2a","results/readme_figures/markers/Tfap2a.png",-0.275089395743368,21.369686221391
"Gad1","results/readme_figures/markers/Gad1.png",-0.217384592044637,20.2813657308155
"Gad2","results/readme_figures/markers/Gad2.png",-0.432384527086812,15.452860869482
"Rlbp1","results/readme_figures/markers/Rlbp1.png",-0.166255117853752,18.4370004587727
"Glul","results/readme_figures/markers/Glul.png",-0.523098123756828,14.5668378690718
"Dkk3","results/readme_figures/markers/Dkk3.png",-0.88420561043363,8.74043472857248
"Clu","results/readme_figures/markers/Clu.png",-0.123833299012944,21.9033144705629
"Apoe","results/readme_figures/markers/Apoe.png",-0.556829183635396,28.6227425231855
"Aqp4","results/readme_figures/markers/Aqp4.png",-0.0641760661001729,36.334521427649
"Calb1","results/readme_figures/markers/Calb1.png",-0.069551945715429,39.0732364236894
"Onecut1","results/readme_figures/markers/Onecut1.png",-0.273703546561592,17.2381315914386
"Rbpms","results/readme_figures/markers/Rbpms.png",-0.253885256696377,16.5968103746893
"Pou4f1","results/readme_figures/markers/Pou4f1.png",-0.185790732559992,21.2067077753055
"Pou4f2","results/readme_figures/markers/Pou4f2.png",-0.106907298264093,37.2894927610742
"Ttr","results/readme_figures/markers/Ttr.png",-0.0339204535641159,77.3624247079055
"Rdh5","results/readme_figures/markers/Rdh5.png",-0.15237583872534,28.7466130807335
"Rpe65","results/readme_figures/markers/Rpe65.png",-0.0207504476512733,91.9405074170871
"S100b","results/readme_figures/markers/S100b.png",-0.0970817414522588,72.9792685776377
"Gfap","results/readme_figures/markers/Gfap.png",-0.0363100978421864,106.360102915565
"Pax2","results/readme_figures/markers/Pax2.png",-0.0391344268577638,55.9637428035808
"Pdgfra","results/readme_figures/markers/Pdgfra.png",-0.0961083583233587,37.735796598908
"Ctss","results/readme_figures/markers/Ctss.png",-0.057273668739512,100.230792588448
"C1qa","results/readme_figures/markers/C1qa.png",-0.0706835010076748,75.2194892184982
"Cldn5","results/readme_figures/markers/Cldn5.png",-0.150429664865406,25.5791586058873
"Flt1","results/readme_figures/markers/Flt1.png",-0.13234228728832,40.9663104550818
"Kcnj8","results/readme_figures/markers/Kcnj8.png",-0.0097135180802835,110.175347755703
"Pecam1","results/readme_figures/markers/Pecam1.png",-0.092990079332358,33.4422404146914
"Acta2","results/readme_figures/markers/Acta2.png",-0.0165597901981899,101.26393702138
"Cdk1","results/readme_figures/markers/Cdk1.png",-0.46737871556411,14.1804754431464
"Mki67","results/readme_figures/markers/Mki67.png",-0.640314075570318,7.89108989632023
"Top2a","results/readme_figures/markers/Top2a.png",-0.678213741801647,9.44151166794815
"Pcna","results/readme_figures/markers/Pcna.png",-0.558543840948056,10.9057346472954
"Ascl1","results/readme_figures/markers/Ascl1.png",-0.448647345846097,10.8915162882198
"Neurog2","results/readme_figures/markers/Neurog2.png",-0.2687420428508,22.5209428968195
"Insm1","results/readme_figures/markers/Insm1.png",-0.251895386909605,15.9409747773517
"Atoh7","results/readme_figures/markers/Atoh7.png",-0.25356739560497,23.8409547540185
"Neurod1","results/readme_figures/markers/Neurod1.png",-0.47796518105936,11.697830761914
"Otx2","results/readme_figures/markers/Otx2.png",-0.493702467304861,9.76269707810707
"Crx","results/readme_figures/markers/Crx.png",-0.36396649500114,11.3447229415848
"Olig2","results/readme_figures/markers/Olig2.png",-0.175995998852209,33.877337386554
"Foxn4","results/readme_figures/markers/Foxn4.png",-0.325705260121045,17.6346832529451
"Fos","results/readme_figures/markers/Fos.png",-0.039816889771598,47.3733465754894
"Jun","results/readme_figures/markers/Jun.png",-0.364536796136255,28.3267694800379
"Stat3","results/readme_figures/markers/Stat3.png",-0.252248453305924,19.3339944458676
"Lcn2","results/readme_figures/markers/Lcn2.png",-0.0110262450690393,145.040436453702
"Malat1","results/readme_figures/markers/Malat1.png",-2.23057095250073,5.8614689494434
